Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
70	15:42:24	15:42:24	15:42:24	15:42:24	15:42:43	15:42:43			15:42:44	15:42:44	15:42:49	15:42:49	15:43:49	15:43:49	15:43:49	15:43:49	15:43:49	15:43:49	15:43:49	15:43:49	15:44:59	15:44:59		00:00:00	00:00:18		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00	00:00:00	00:01:09	00:02:34
71	15:44:59	15:44:59	15:44:59	15:44:59	15:45:16	15:45:16			15:45:17	15:45:17	15:45:22	15:45:22	15:46:27	15:46:27	15:46:28	15:46:28	15:46:28	15:46:28			15:46:29	15:46:29		00:00:00	00:00:17		00:00:00	00:00:04	00:01:05	00:00:00	00:00:00		00:00:01	00:01:30
72	15:46:29	15:46:29	15:46:29	15:46:29	15:46:48	15:46:48			15:46:49	15:46:49	15:46:54	15:46:54	15:47:58	15:47:58	15:47:58	15:47:58	15:47:58	15:47:58			15:48:00	15:48:00		00:00:00	00:00:18		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:01	00:01:30
73	15:48:00	15:48:00	15:48:00	15:48:00	15:48:18	15:48:18			15:48:19	15:48:19	15:48:24	15:48:24	15:49:29	15:49:29	15:49:29	15:49:29	15:49:29	15:49:29			15:49:30	15:49:30		00:00:00	00:00:17		00:00:01	00:00:04	00:01:04	00:00:00	00:00:00		00:00:01	00:01:30
74	15:49:31	15:49:31	15:49:31	15:49:31	15:49:51	15:49:51			15:49:52	15:49:52	15:49:57	15:49:57	15:51:00	15:51:00	15:51:00	15:51:00	15:51:00	15:51:00			15:51:02	15:51:02		00:00:00	00:00:20		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:31
75	15:51:02	15:51:02	15:51:02	15:51:02	15:51:20	15:51:20			15:51:21	15:51:21	15:51:29	15:51:29	15:52:28	15:52:28	15:52:28	15:52:28	15:52:28	15:52:28			15:52:29	15:52:29		00:00:00	00:00:17		00:00:00	00:00:08	00:00:58	00:00:00	00:00:00		00:00:01	00:01:27
76	15:52:30	15:52:30	15:52:30	15:52:30	15:52:45	15:52:45			15:52:46	15:52:46	15:52:56	15:52:56	15:53:53	15:53:53	15:53:53	15:53:53	15:53:53	15:53:53			15:53:59	15:53:59		00:00:00	00:00:15		00:00:00	00:00:09	00:00:56	00:00:00	00:00:00		00:00:05	00:01:29
77	15:53:59	15:53:59	15:53:59	15:53:59	15:54:15	15:54:15			15:54:16	15:54:16	15:54:21	15:54:21	15:55:26	15:55:26	15:55:26	15:55:26	15:55:26	15:55:26			15:55:32	15:55:32		00:00:00	00:00:16		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:32
78	15:55:32	15:55:32	15:55:32	15:55:32	15:55:53	15:55:53			15:55:54	15:55:54	15:56:00	15:56:00	15:57:06	15:57:06	15:57:06	15:57:06	15:57:06	15:57:06			15:57:12	15:57:12		00:00:00	00:00:21		00:00:00	00:00:05	00:01:06	00:00:00	00:00:00		00:00:05	00:01:40
79	15:57:12	15:57:12	15:57:12	15:57:12	15:57:31	15:57:31			15:57:32	15:57:32	15:57:37	15:57:37	15:58:39	15:58:39	15:58:39	15:58:39	15:58:39	15:58:39			15:58:45	15:58:45		00:00:00	00:00:18		00:00:01	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:32
80	15:58:45	15:58:45	15:58:45	15:58:45	15:59:07	15:59:07			15:59:07	15:59:07	15:59:13	15:59:13	16:00:11	16:00:11	16:00:11	16:00:11	16:00:11	16:00:11	16:00:11	16:00:11	16:01:27	16:01:27		00:00:00	00:00:21		00:00:00	00:00:05	00:00:58	00:00:00	00:00:00	00:00:00	00:01:15	00:02:41
81	16:01:27	16:01:27	16:01:27	16:01:27	16:01:49	16:01:49			16:01:50	16:01:50	16:01:55	16:01:55	16:02:54	16:02:54	16:02:54	16:02:54	16:02:54	16:02:54			16:02:56	16:02:56		00:00:00	00:00:22		00:00:00	00:00:05	00:00:58	00:00:00	00:00:00		00:00:01	00:01:29
82	16:02:56	16:02:56	16:02:56	16:02:56	16:03:14	16:03:14			16:03:15	16:03:15	16:03:20	16:03:20	16:04:20	16:04:20	16:04:20	16:04:20	16:04:20	16:04:20			16:04:22	16:04:22		00:00:00	00:00:18		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:01	00:01:25
83	16:04:22	16:04:22	16:04:22	16:04:22	16:04:39	16:04:39			16:04:40	16:04:40	16:04:45	16:04:45	16:05:46	16:05:46	16:05:46	16:05:46	16:05:46	16:05:46			16:05:52	16:05:52		00:00:00	00:00:16		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:06	00:01:30
84	16:05:52	16:05:52	16:05:52	16:05:52	16:06:10	16:06:10			16:06:11	16:06:11	16:06:16	16:06:16	16:07:16	16:07:16	16:07:16	16:07:16	16:07:16	16:07:16			16:07:18	16:07:18		00:00:00	00:00:17		00:00:01	00:00:05	00:01:00	00:00:00	00:00:00		00:00:02	00:01:25
85	16:07:18	16:07:18	16:07:19	16:07:19	16:07:37	16:07:37			16:07:38	16:07:38	16:07:43	16:07:43	16:08:42	16:08:42	16:08:42	16:08:42	16:08:42	16:08:42			16:08:43	16:08:43		00:00:00	00:00:18		00:00:00	00:00:04	00:00:59	00:00:00	00:00:00		00:00:01	00:01:24
86	16:08:43	16:08:43	16:08:44	16:08:44	16:09:01	16:09:01			16:09:01	16:09:01	16:09:07	16:09:07	16:10:07	16:10:07	16:10:07	16:10:07	16:10:07	16:10:07			16:10:13	16:10:13		00:00:00	00:00:17		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:29
87	16:10:13	16:10:13	16:10:13	16:10:13	16:10:29	16:10:29			16:10:30	16:10:30	16:10:35	16:10:35	16:11:32	16:11:32	16:11:32	16:11:32	16:11:32	16:11:32			16:11:38	16:11:38		00:00:00	00:00:15		00:00:00	00:00:05	00:00:56	00:00:00	00:00:00		00:00:05	00:01:24
88	16:11:38	16:11:38	16:11:38	16:11:38	16:11:52	16:11:52			16:11:53	16:11:53	16:11:58	16:11:58	16:12:58	16:12:58	16:12:58	16:12:58	16:12:58	16:12:58			16:13:04	16:13:04		00:00:00	00:00:14		00:00:00	00:00:04	00:01:00	00:00:00	00:00:00		00:00:05	00:01:26
89	16:13:04	16:13:04	16:13:04	16:13:04	16:13:20	16:13:20			16:13:21	16:13:21	16:13:26	16:13:26	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25			16:14:32	16:14:32		00:00:00	00:00:15		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:06	00:01:27
90	16:14:32	16:14:32	16:14:32	16:14:32	16:14:46	16:14:46			16:14:47	16:14:47	16:14:53	16:14:53	16:15:51	16:15:51	16:15:51	16:15:51	16:15:51	16:15:51	16:15:51	16:15:51	16:16:59	16:16:59		00:00:00	00:00:14		00:00:00	00:00:05	00:00:58	00:00:00	00:00:00	00:00:00	00:01:07	00:02:26
91	16:16:59	16:16:59	16:16:59	16:16:59	16:17:22	16:17:22			16:17:23	16:17:23	16:17:28	16:17:28	16:18:30	16:18:30	16:18:30	16:18:30	16:18:30	16:18:30			16:18:31	16:18:31		00:00:00	00:00:22		00:00:00	00:00:04	00:01:01	00:00:00	00:00:00		00:00:01	00:01:32
92	16:18:32	16:18:32	16:18:32	16:18:32	16:18:52	16:18:52			16:18:53	16:18:53	16:18:57	16:18:57	16:19:59	16:19:59	16:19:59	16:19:59	16:19:59	16:19:59			16:20:00	16:20:00		00:00:00	00:00:19		00:00:00	00:00:04	00:01:01	00:00:00	00:00:00		00:00:01	00:01:28
93	16:20:00	16:20:00	16:20:01	16:20:01	16:20:17	16:20:17			16:20:18	16:20:18	16:20:24	16:20:24	16:21:29	16:21:29	16:21:29	16:21:29	16:21:30	16:21:30			16:21:31	16:21:31		00:00:00	00:00:16		00:00:01	00:00:05	00:01:05	00:00:00	00:00:00		00:00:01	00:01:30
94	16:21:31	16:21:31	16:21:31	16:21:31	16:21:48	16:21:48			16:21:49	16:21:49	16:21:54	16:21:54	16:22:56	16:22:56	16:22:57	16:22:57	16:22:57	16:22:57			16:22:58	16:22:58		00:00:00	00:00:16		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:26
95	16:22:58	16:22:58	16:22:58	16:22:58	16:23:13	16:23:13			16:23:14	16:23:14	16:23:19	16:23:19	16:24:22	16:24:22	16:24:22	16:24:22	16:24:22	16:24:22			16:24:24	16:24:24		00:00:00	00:00:14		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:25
96	16:24:24	16:24:24	16:24:24	16:24:24	16:24:44	16:24:44			16:24:45	16:24:45	16:24:51	16:24:51	16:25:57	16:25:57	16:25:58	16:25:58	16:25:58	16:25:58			16:26:03	16:26:03		00:00:00	00:00:20		00:00:00	00:00:05	00:01:06	00:00:00	00:00:00		00:00:05	00:01:39
97	16:26:03	16:26:03	16:26:03	16:26:03	16:26:22	16:26:22			16:26:23	16:26:23	16:26:28	16:26:28	16:27:31	16:27:31	16:27:31	16:27:31	16:27:31	16:27:31			16:27:37	16:27:37		00:00:00	00:00:18		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:05	00:01:33
98	16:27:37	16:27:37	16:27:37	16:27:37	16:27:52	16:27:52			16:27:53	16:27:53	16:27:58	16:27:58	16:29:03	16:29:03	16:29:03	16:29:03	16:29:03	16:29:03			16:29:09	16:29:09		00:00:00	00:00:14		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:31
99	16:29:14	16:29:14	16:29:14	16:29:14	16:29:28	16:29:28			16:29:29	16:29:29	16:29:34	16:29:34	16:30:33	16:30:33	16:30:33	16:30:33	16:30:33	16:30:33			16:30:39	16:30:39		00:00:00	00:00:13		00:00:00	00:00:05	00:00:58	00:00:00	00:00:00		00:00:05	00:01:24
100	16:30:39	16:30:39	16:30:39	16:30:39	16:30:56	16:30:56	16:30:57	16:31:22	16:31:22	16:31:22	16:31:27	16:31:27	16:33:07	16:33:07	16:33:07	16:33:07	16:33:07	16:33:07	16:33:14	16:33:14	16:34:24	16:34:24		00:00:00	00:00:17	00:00:25	00:00:26	00:00:04	00:01:39	00:00:00	00:00:00	00:00:00	00:01:16	00:03:44
101	16:34:24	16:34:24	16:34:25	16:34:25	16:34:42	16:34:42			16:34:43	16:34:43	16:34:48	16:34:48	16:35:48	16:35:48	16:35:48	16:35:48	16:35:48	16:35:48			16:35:50	16:35:50		00:00:01	00:00:16		00:00:00	00:00:04	00:00:59	00:00:00	00:00:00		00:00:01	00:01:25
102	16:35:50	16:35:50	16:35:50	16:35:50	16:36:08	16:36:08			16:36:09	16:36:09	16:36:14	16:36:14	16:37:17	16:37:17	16:37:17	16:37:17	16:37:18	16:37:18			16:37:19	16:37:19		00:00:00	00:00:18		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:29
103	16:37:19	16:37:19	16:37:19	16:37:19	16:37:40	16:37:40			16:37:41	16:37:41	16:37:47	16:37:47	16:38:44	16:38:44	16:38:44	16:38:44	16:38:44	16:38:44			16:38:46	16:38:46		00:00:00	00:00:20		00:00:00	00:00:05	00:00:57	00:00:00	00:00:00		00:00:01	00:01:26
104	16:38:46	16:38:46	16:38:46	16:38:46	16:39:03	16:39:03			16:39:04	16:39:04	16:39:09	16:39:09	16:40:08	16:40:08	16:40:08	16:40:08	16:40:08	16:40:08			16:40:10	16:40:10		00:00:00	00:00:17		00:00:00	00:00:05	00:00:58	00:00:00	00:00:00		00:00:01	00:01:23
105	16:40:10	16:40:10	16:40:10	16:40:10	16:40:29	16:40:29			16:40:29	16:40:29	16:40:35	16:40:35	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32			16:41:34	16:41:34		00:00:00	00:00:18		00:00:00	00:00:05	00:00:56	00:00:00	00:00:00		00:00:01	00:01:23
106	16:41:34	16:41:34	16:41:34	16:41:34	16:41:48	16:41:48			16:41:49	16:41:49	16:41:55	16:41:55	16:42:57	16:42:57	16:42:57	16:42:57	16:42:57	16:42:57			16:43:02	16:43:02		00:00:00	00:00:14		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:05	00:01:28
107	16:43:03	16:43:03	16:43:03	16:43:03	16:43:19	16:43:19			16:43:20	16:43:20	16:43:26	16:43:26	16:44:26	16:44:26	16:44:26	16:44:26	16:44:26	16:44:26			16:44:32	16:44:32		00:00:00	00:00:16		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:29
108	16:44:32	16:44:32	16:44:32	16:44:32	16:44:50	16:44:50			16:44:51	16:44:51	16:44:57	16:44:57	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57	16:45:57			16:46:02	16:46:02		00:00:00	00:00:18		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:30
109	16:46:03	16:46:03	16:46:03	16:46:03	16:46:26	16:46:26			16:46:27	16:46:27	16:46:32	16:46:32	16:47:33	16:47:33	16:47:33	16:47:33	16:47:33	16:47:33			16:47:39	16:47:39		00:00:00	00:00:23		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:36
110	16:47:39	16:47:39	16:47:39	16:47:39	16:47:55	16:47:55			16:47:56	16:47:56	16:48:01	16:48:01	16:48:57	16:48:57	16:48:57	16:48:57	16:48:57	16:48:57	16:48:57	16:48:57	16:50:06	16:50:06		00:00:00	00:00:15		00:00:00	00:00:04	00:00:56	00:00:00	00:00:00	00:00:00	00:01:09	00:02:27
111	16:50:07	16:50:07	16:50:07	16:50:07	16:50:26	16:50:26			16:50:26	16:50:26	16:50:32	16:50:32	16:51:37	16:51:37	16:51:37	16:51:37	16:51:37	16:51:37			16:51:39	16:51:39		00:00:00	00:00:18		00:00:00	00:00:05	00:01:05	00:00:00	00:00:00		00:00:01	00:01:32
112	16:51:39	16:51:39	16:51:39	16:51:39	16:51:58	16:51:58			16:51:59	16:51:59	16:52:04	16:52:04	16:53:07	16:53:07	16:53:07	16:53:07	16:53:07	16:53:07			16:53:09	16:53:09		00:00:00	00:00:18		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:01	00:01:29
113	16:53:09	16:53:09	16:53:09	16:53:09	16:53:29	16:53:29			16:53:30	16:53:30	16:53:36	16:53:36	16:54:35	16:54:35	16:54:35	16:54:35	16:54:35	16:54:35			16:54:37	16:54:37		00:00:00	00:00:20		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:01	00:01:28
114	16:54:37	16:54:37	16:54:37	16:54:37	16:54:58	16:54:58			16:54:59	16:54:59	16:55:04	16:55:04	16:56:07	16:56:07	16:56:07	16:56:07	16:56:07	16:56:07			16:56:09	16:56:09		00:00:00	00:00:20		00:00:00	00:00:04	00:01:03	00:00:00	00:00:00		00:00:01	00:01:31
115	16:56:09	16:56:09	16:56:09	16:56:09	16:56:26	16:56:26			16:56:27	16:56:27	16:56:32	16:56:32	16:57:31	16:57:31	16:57:31	16:57:31	16:57:31	16:57:31			16:57:32	16:57:32		00:00:00	00:00:16		00:00:00	00:00:05	00:00:58	00:00:00	00:00:00		00:00:01	00:01:22
116	16:57:32	16:57:32	16:57:32	16:57:32	16:57:50	16:57:50			16:57:51	16:57:51	16:57:56	16:57:56	16:58:56	16:58:56	16:58:56	16:58:56	16:58:56	16:58:56			16:59:02	16:59:02		00:00:00	00:00:17		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:29
117	16:59:02	16:59:02	16:59:02	16:59:02	16:59:18	16:59:18			16:59:19	16:59:19	16:59:24	16:59:24	17:00:21	17:00:21	17:00:21	17:00:21	17:00:21	17:00:21			17:00:30	17:00:30		00:00:00	00:00:15		00:00:01	00:00:05	00:00:56	00:00:00	00:00:00		00:00:08	00:01:27
118	17:00:30	17:00:30	17:00:30	17:00:30	17:00:52	17:00:52			17:00:53	17:00:53	17:00:58	17:00:58	17:02:00	17:02:00	17:02:00	17:02:00	17:02:00	17:02:00			17:02:06	17:02:06		00:00:00	00:00:21		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:35
119	17:02:06	17:02:06	17:02:06	17:02:06	17:02:21	17:02:21			17:02:22	17:02:22	17:02:27	17:02:27	17:03:31	17:03:31	17:03:31	17:03:31	17:03:31	17:03:31			17:03:37	17:03:37		00:00:00	00:00:14		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:05	00:01:30
120	17:03:37	17:03:37	17:03:37	17:03:37	17:03:55	17:03:55			17:03:56	17:03:56	17:04:01	17:04:01	17:05:00	17:05:00	17:05:01	17:05:01	17:05:01	17:05:01	17:05:01	17:05:01	17:06:15	17:06:15		00:00:00	00:00:17		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00	00:00:00	00:01:14	00:02:38
121	17:06:16	17:06:16	17:06:17	17:06:17	17:06:35	17:06:35			17:06:35	17:06:35	17:06:40	17:06:40	17:07:40	17:07:40	17:07:40	17:07:40	17:07:40	17:07:40			17:07:44	17:07:44		00:00:01	00:00:17		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:04	00:01:28
122	17:07:51	17:07:51	17:07:51	17:07:51	17:08:10	17:08:10			17:08:11	17:08:11	17:08:16	17:08:16	17:09:19	17:09:19	17:09:19	17:09:19	17:09:19	17:09:19			17:09:20	17:09:20		00:00:00	00:00:19		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:29
123	17:09:21	17:09:21	17:09:21	17:09:21	17:09:40	17:09:40			17:09:41	17:09:41	17:09:46	17:09:46	17:10:50	17:10:50	17:10:50	17:10:50	17:10:50	17:10:50			17:10:52	17:10:52		00:00:00	00:00:18		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:01	00:01:31
124	17:10:52	17:10:52	17:10:52	17:10:52	17:11:10	17:11:10			17:11:11	17:11:11	17:11:17	17:11:17	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18	17:12:18			17:12:20	17:12:20		00:00:00	00:00:18		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:27
125	17:12:20	17:12:20	17:12:20	17:12:20	17:12:38	17:12:38			17:12:39	17:12:39	17:12:44	17:12:44	17:13:50	17:13:50	17:13:50	17:13:50	17:13:50	17:13:50			17:13:52	17:13:52		00:00:00	00:00:17		00:00:00	00:00:05	00:01:06	00:00:00	00:00:00		00:00:01	00:01:31
126	17:13:52	17:13:52	17:13:52	17:13:52	17:14:12	17:14:12			17:14:13	17:14:13	17:14:18	17:14:18	17:15:19	17:15:19	17:15:19	17:15:19	17:15:19	17:15:19			17:15:25	17:15:25		00:00:00	00:00:19		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:32
127	17:15:25	17:15:25	17:15:25	17:15:25	17:15:47	17:15:47			17:15:47	17:15:47	17:15:53	17:15:53	17:16:52	17:16:52	17:16:53	17:16:53	17:16:53	17:16:53			17:16:59	17:16:59		00:00:00	00:00:21		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:06	00:01:34
128	17:17:00	17:17:00	17:17:00	17:17:00	17:17:16	17:17:16			17:17:17	17:17:17	17:17:22	17:17:22	17:18:20	17:18:20	17:18:23	17:18:23	17:18:23	17:18:23			17:18:29	17:18:29		00:00:00	00:00:15		00:00:01	00:00:05	00:00:58	00:00:03	00:00:00		00:00:05	00:01:29
129	17:18:30	17:18:30	17:18:31	17:18:31	17:18:45	17:18:45			17:18:46	17:18:46	17:18:51	17:18:51	17:19:52	17:19:52	17:19:52	17:19:52	17:19:52	17:19:52			17:19:57	17:19:57		00:00:00	00:00:14		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:26
130	17:19:57	17:19:57	17:19:58	17:19:58	17:20:13	17:20:13			17:20:14	17:20:14	17:20:19	17:20:19	17:21:22	17:21:22	17:21:22	17:21:22	17:21:22	17:21:22	17:21:22	17:21:22	17:22:30	17:22:30		00:00:00	00:00:15		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00	00:00:00	00:01:07	00:02:32
131	17:22:30	17:22:30	17:22:31	17:22:31	17:22:53	17:22:53			17:22:54	17:22:54	17:22:59	17:22:59	17:23:57	17:23:57	17:23:57	17:23:57	17:23:57	17:23:57			17:23:59	17:23:59		00:00:00	00:00:22		00:00:00	00:00:05	00:00:57	00:00:00	00:00:00		00:00:01	00:01:28
132	17:23:59	17:23:59	17:23:59	17:23:59	17:24:19	17:24:19			17:24:20	17:24:20	17:24:25	17:24:25	17:25:28	17:25:28	17:25:28	17:25:28	17:25:28	17:25:28			17:25:35	17:25:35		00:00:00	00:00:19		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:06	00:01:36
133	17:25:35	17:25:35	17:25:36	17:25:36	17:25:50	17:25:50			17:25:51	17:25:51	17:25:56	17:25:56	17:26:56	17:26:56	17:26:56	17:26:56	17:26:56	17:26:56			17:26:58	17:26:58		00:00:00	00:00:13		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:01	00:01:22
134	17:26:58	17:26:58	17:26:58	17:26:58	17:27:17	17:27:17			17:27:18	17:27:18	17:27:23	17:27:23	17:28:24	17:28:24	17:28:25	17:28:25	17:28:25	17:28:25			17:28:26	17:28:26		00:00:00	00:00:19		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:28
135	17:28:26	17:28:26	17:28:27	17:28:27	17:28:43	17:28:43			17:28:43	17:28:43	17:28:49	17:28:49	17:29:47	17:29:47	17:29:47	17:29:47	17:29:47	17:29:47			17:29:48	17:29:48		00:00:00	00:00:15		00:00:00	00:00:05	00:00:57	00:00:00	00:00:00		00:00:01	00:01:21
136	17:29:48	17:29:48	17:29:49	17:29:49	17:30:06	17:30:06			17:30:07	17:30:07	17:30:13	17:30:13	17:31:15	17:31:15	17:31:16	17:31:16	17:31:16	17:31:16			17:31:21	17:31:21		00:00:00	00:00:17		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:05	00:01:32
137	17:31:21	17:31:21	17:31:21	17:31:21	17:31:36	17:31:36			17:31:37	17:31:37	17:31:43	17:31:43	17:32:42	17:32:42	17:32:43	17:32:43	17:32:43	17:32:43			17:32:48	17:32:48		00:00:00	00:00:14		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:05	00:01:26
138	17:32:48	17:32:48	17:32:48	17:32:48	17:33:07	17:33:07			17:33:08	17:33:08	17:33:13	17:33:13	17:34:11	17:34:11	17:34:11	17:34:11	17:34:11	17:34:11			17:34:17	17:34:17		00:00:00	00:00:18		00:00:00	00:00:05	00:00:57	00:00:00	00:00:00		00:00:05	00:01:28
139	17:34:17	17:34:17	17:34:17	17:34:17	17:34:36	17:34:36			17:34:37	17:34:37	17:34:42	17:34:42	17:35:41	17:35:41	17:35:46	17:35:46	17:35:46	17:35:46			17:35:51	17:35:51		00:00:00	00:00:18		00:00:00	00:00:05	00:00:58	00:00:05	00:00:00		00:00:05	00:01:34
140	17:35:52	17:35:52	17:35:52	17:35:52	17:36:05	17:36:05			17:36:06	17:36:06	17:36:11	17:36:11	17:37:12	17:37:12	17:37:12	17:37:12	17:37:12	17:37:12	17:37:12	17:37:12	17:38:34	17:38:34		00:00:00	00:00:12		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00	00:00:00	00:01:22	00:02:42
141	17:38:34	17:38:34	17:38:36	17:38:36	17:38:56	17:38:56			17:38:56	17:38:56	17:39:02	17:39:02	17:40:03	17:40:03	17:40:03	17:40:03	17:40:03	17:40:03			17:40:06	17:40:06		00:00:01	00:00:19		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:02	00:01:31
142	17:40:06	17:40:06	17:40:06	17:40:06	17:40:23	17:40:23			17:40:24	17:40:24	17:40:29	17:40:29	17:41:24	17:41:24	17:41:24	17:41:24	17:41:24	17:41:24			17:41:26	17:41:26		00:00:00	00:00:16		00:00:00	00:00:05	00:00:55	00:00:00	00:00:00		00:00:01	00:01:19
143	17:41:26	17:41:26	17:41:26	17:41:26	17:41:42	17:41:42			17:41:43	17:41:43	17:41:49	17:41:49	17:42:48	17:42:48	17:42:48	17:42:48	17:42:48	17:42:48			17:42:50	17:42:50		00:00:00	00:00:16		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:01	00:01:24
144	17:42:50	17:42:50	17:42:50	17:42:50	17:43:03	17:43:03			17:43:04	17:43:04	17:43:09	17:43:09	17:44:13	17:44:13	17:44:13	17:44:13	17:44:13	17:44:13			17:44:15	17:44:15		00:00:00	00:00:12		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:01	00:01:24
145	17:44:15	17:44:15	17:44:15	17:44:15	17:44:32	17:44:32			17:44:33	17:44:33	17:44:39	17:44:39	17:45:40	17:45:40	17:45:40	17:45:40	17:45:40	17:45:40			17:45:42	17:45:42		00:00:00	00:00:16		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:26
146	17:45:42	17:45:42	17:45:42	17:45:42	17:46:00	17:46:00			17:46:01	17:46:01	17:46:06	17:46:06	17:47:05	17:47:05	17:47:05	17:47:05	17:47:05	17:47:05			17:47:11	17:47:11		00:00:00	00:00:17		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:05	00:01:28
147	17:47:11	17:47:11	17:47:11	17:47:11	17:47:26	17:47:26			17:47:27	17:47:27	17:47:32	17:47:32	17:48:31	17:48:31	17:48:31	17:48:31	17:48:31	17:48:31			17:48:36	17:48:36		00:00:00	00:00:15		00:00:00	00:00:04	00:00:58	00:00:00	00:00:00		00:00:05	00:01:25
148	17:48:37	17:48:37	17:48:37	17:48:37	17:48:55	17:48:55			17:48:55	17:48:55	17:49:00	17:49:00	17:50:03	17:50:03	17:50:03	17:50:03	17:50:03	17:50:03			17:50:09	17:50:09		00:00:00	00:00:17		00:00:00	00:00:04	00:01:02	00:00:00	00:00:00		00:00:05	00:01:32
149	17:50:09	17:50:09	17:50:09	17:50:09	17:50:23	17:50:23			17:50:24	17:50:24	17:50:29	17:50:29	17:51:30	17:51:30	17:51:30	17:51:30	17:51:30	17:51:30			17:51:35	17:51:35		00:00:00	00:00:13		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:26
150	17:51:35	17:51:35	17:51:36	17:51:36	17:51:53	17:51:53	17:51:54	17:52:18	17:52:19	17:52:19	17:52:24	17:52:24	17:54:01	17:54:01	17:54:01	17:54:01	17:54:01	17:54:01	17:54:09	17:54:09	17:55:17	17:55:17		00:00:00	00:00:17	00:00:24	00:00:25	00:00:05	00:01:36	00:00:00	00:00:00	00:00:00	00:01:15	00:03:41
151	17:55:17	17:55:17	17:55:17	17:55:17	17:55:37	17:55:37			17:55:38	17:55:38	17:55:43	17:55:43	17:56:43	17:56:43	17:56:43	17:56:43	17:56:43	17:56:43			17:56:45	17:56:45		00:00:00	00:00:19		00:00:00	00:00:04	00:01:00	00:00:00	00:00:00		00:00:01	00:01:27
