Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	14:13:34	14:13:34	14:13:34	14:13:34	14:13:51	14:13:51			14:13:52	14:13:52	14:13:57	14:13:57	14:14:57	14:14:57	14:14:57	14:14:57	14:14:57	14:14:57			14:15:02	14:15:02		00:00:00	00:00:17		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:05	00:01:28
18	14:15:03	14:15:03	14:15:03	14:15:03	14:15:22	14:15:22			14:15:23	14:15:23	14:15:28	14:15:28	14:16:30	14:16:30	14:16:30	14:16:30	14:16:30	14:16:30			14:16:35	14:16:35		00:00:00	00:00:19		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:32
19	14:16:35	14:16:35	14:16:36	14:16:36	14:16:53	14:16:53			14:16:54	14:16:54	14:16:59	14:16:59	14:18:03	14:18:03	14:18:03	14:18:03	14:18:03	14:18:03			14:18:09	14:18:09		00:00:00	00:00:17		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:33
20	14:18:09	14:18:09	14:18:09	14:18:09	14:18:25	14:18:25			14:18:26	14:18:26	14:18:32	14:18:32	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:19:36	14:21:00	14:21:00		00:00:00	00:00:16		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00	00:00:00	00:01:24	00:02:51
21	14:21:00	14:21:00	14:21:02	14:21:02	14:21:18	14:21:18			14:21:19	14:21:19	14:21:24	14:21:24	14:22:28	14:22:28	14:22:28	14:22:28	14:22:28	14:22:28			14:22:29	14:22:29		00:00:01	00:00:16		00:00:00	00:00:04	00:01:03	00:00:00	00:00:00		00:00:01	00:01:28
22	14:22:29	14:22:29	14:22:30	14:22:30	14:22:47	14:22:47			14:22:47	14:22:47	14:22:53	14:22:53	14:23:56	14:23:56	14:23:56	14:23:56	14:23:56	14:23:56			14:23:58	14:23:58		00:00:00	00:00:17		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:28
23	14:23:58	14:23:58	14:23:58	14:23:58	14:24:21	14:24:21			14:24:21	14:24:21	14:24:26	14:24:26	14:25:32	14:25:32	14:25:32	14:25:32	14:25:32	14:25:32			14:25:33	14:25:33		00:00:00	00:00:22		00:00:00	00:00:05	00:01:05	00:00:00	00:00:00		00:00:01	00:01:35
24	14:25:33	14:25:33	14:25:34	14:25:34	14:25:49	14:25:49			14:25:50	14:25:50	14:25:55	14:25:55	14:26:56	14:26:56	14:26:56	14:26:56	14:26:56	14:26:56			14:26:58	14:26:58		00:00:00	00:00:15		00:00:00	00:00:04	00:01:00	00:00:00	00:00:00		00:00:01	00:01:24
25	14:26:58	14:26:58	14:26:58	14:26:58	14:27:18	14:27:18			14:27:19	14:27:19	14:27:25	14:27:25	14:28:28	14:28:28	14:28:33	14:28:33	14:28:33	14:28:33			14:28:35	14:28:35		00:00:00	00:00:20		00:00:00	00:00:05	00:01:03	00:00:05	00:00:00		00:00:02	00:01:37
26	14:28:35	14:28:35	14:28:36	14:28:36	14:28:53	14:28:53			14:28:54	14:28:54	14:28:59	14:28:59	14:30:07	14:30:07	14:30:07	14:30:07	14:30:07	14:30:07			14:30:12	14:30:12		00:00:00	00:00:17		00:00:00	00:00:05	00:01:07	00:00:00	00:00:00		00:00:05	00:01:37
27	14:30:13	14:30:13	14:30:13	14:30:13	14:30:36	14:30:36			14:30:37	14:30:37	14:30:43	14:30:43	14:31:43	14:31:43	14:31:43	14:31:43	14:31:43	14:31:43			14:31:48	14:31:48		00:00:00	00:00:23		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:05	00:01:35
28	14:31:48	14:31:48	14:31:49	14:31:49	14:32:06	14:32:06			14:32:07	14:32:07	14:32:12	14:32:12	14:33:19	14:33:19	14:33:19	14:33:19	14:33:19	14:33:19			14:33:25	14:33:25		00:00:00	00:00:17		00:00:01	00:00:05	00:01:06	00:00:00	00:00:00		00:00:05	00:01:36
29	14:33:25	14:33:25	14:33:25	14:33:25	14:33:41	14:33:41			14:33:42	14:33:42	14:33:47	14:33:47	14:34:52	14:34:52	14:34:52	14:34:52	14:34:52	14:34:52			14:34:57	14:34:57		00:00:00	00:00:15		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:31
30	14:34:57	14:34:57	14:34:58	14:34:58	14:35:18	14:35:18			14:35:19	14:35:19	14:35:24	14:35:24	14:36:26	14:36:26	14:36:32	14:36:32	14:36:32	14:36:32	14:36:32	14:36:32	14:37:48	14:37:48		00:00:00	00:00:20		00:00:00	00:00:05	00:01:01	00:00:05	00:00:00	00:00:00	00:01:15	00:02:50
31	14:37:48	14:37:48	14:37:50	14:37:50	14:38:07	14:38:07			14:38:08	14:38:08	14:38:13	14:38:13	14:39:17	14:39:17	14:39:17	14:39:17	14:39:17	14:39:17			14:39:19	14:39:19		00:00:02	00:00:16		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:01	00:01:30
32	14:39:19	14:39:19	14:39:19	14:39:19	14:39:35	14:39:35			14:39:36	14:39:36	14:39:41	14:39:41	14:40:45	14:40:45	14:40:46	14:40:46	14:40:46	14:40:46			14:40:54	14:40:54		00:00:00	00:00:15		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:08	00:01:34
33	14:40:54	14:40:54	14:40:54	14:40:54	14:41:12	14:41:12			14:41:13	14:41:13	14:41:18	14:41:18	14:42:20	14:42:20	14:42:20	14:42:20	14:42:20	14:42:20			14:42:21	14:42:21		00:00:00	00:00:18		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:27
34	14:42:22	14:42:22	14:42:22	14:42:22	14:42:39	14:42:39			14:42:40	14:42:40	14:42:46	14:42:46	14:43:48	14:43:48	14:43:48	14:43:48	14:43:48	14:43:48			14:43:50	14:43:50		00:00:00	00:00:17		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:28
35	14:43:50	14:43:50	14:43:50	14:43:50	14:44:06	14:44:06			14:44:07	14:44:07	14:44:12	14:44:12	14:45:13	14:45:13	14:45:13	14:45:13	14:45:13	14:45:13			14:45:15	14:45:15		00:00:00	00:00:15		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:24
36	14:45:15	14:45:15	14:45:15	14:45:15	14:45:34	14:45:34			14:45:35	14:45:35	14:45:40	14:45:40	14:46:45	14:46:45	14:46:45	14:46:45	14:46:45	14:46:45			14:46:51	14:46:51		00:00:00	00:00:18		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:35
37	14:46:51	14:46:51	14:46:51	14:46:51	14:47:09	14:47:09			14:47:10	14:47:10	14:47:15	14:47:15	14:48:18	14:48:18	14:48:18	14:48:18	14:48:18	14:48:18			14:48:26	14:48:26		00:00:00	00:00:17		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:07	00:01:34
38	14:48:27	14:48:27	14:48:27	14:48:27	14:48:43	14:48:43			14:48:44	14:48:44	14:48:49	14:48:49	14:49:50	14:49:50	14:49:50	14:49:50	14:49:50	14:49:50			14:49:56	14:49:56		00:00:00	00:00:16		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:29
39	14:49:56	14:49:56	14:49:56	14:49:56	14:50:13	14:50:13			14:50:14	14:50:14	14:50:19	14:50:19	14:51:26	14:51:26	14:51:26	14:51:26	14:51:26	14:51:26			14:51:32	14:51:32		00:00:00	00:00:16		00:00:00	00:00:05	00:01:07	00:00:00	00:00:00		00:00:05	00:01:36
40	14:51:32	14:51:32	14:51:32	14:51:32	14:51:49	14:51:49			14:51:50	14:51:50	14:51:56	14:51:56	14:52:57	14:52:57	14:52:57	14:52:57	14:52:58	14:52:58	14:52:58	14:52:58	14:54:19	14:54:19		00:00:00	00:00:16		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00	00:00:00	00:01:21	00:02:46
41	14:54:19	14:54:19	14:54:21	14:54:21	14:54:38	14:54:38			14:54:38	14:54:38	14:54:44	14:54:44	14:55:47	14:55:47	14:55:47	14:55:47	14:55:47	14:55:47			14:55:52	14:55:52		00:00:02	00:00:16		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:05	00:01:33
42	14:55:52	14:55:52	14:55:52	14:55:52	14:56:07	14:56:07			14:56:08	14:56:08	14:56:13	14:56:13	14:57:17	14:57:17	14:57:17	14:57:17	14:57:17	14:57:17			14:57:19	14:57:19		00:00:00	00:00:14		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:01	00:01:26
43	14:57:19	14:57:19	14:57:19	14:57:19	14:57:38	14:57:38			14:57:39	14:57:39	14:57:45	14:57:45	14:58:50	14:58:50	14:58:50	14:58:50	14:58:50	14:58:50			14:58:52	14:58:52		00:00:00	00:00:18		00:00:01	00:00:05	00:01:05	00:00:00	00:00:00		00:00:01	00:01:33
44	14:58:52	14:58:52	14:58:52	14:58:52	14:59:08	14:59:08			14:59:09	14:59:09	14:59:14	14:59:14	15:00:16	15:00:16	15:00:16	15:00:16	15:00:16	15:00:16			15:00:18	15:00:18		00:00:00	00:00:15		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:25
45	15:00:18	15:00:18	15:00:18	15:00:18	15:00:37	15:00:37			15:00:38	15:00:38	15:00:43	15:00:43	15:01:45	15:01:45	15:01:45	15:01:45	15:01:45	15:01:45			15:01:47	15:01:47		00:00:00	00:00:18		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:28
46	15:01:47	15:01:47	15:01:47	15:01:47	15:02:07	15:02:07			15:02:08	15:02:08	15:02:14	15:02:14	15:03:19	15:03:19	15:03:19	15:03:19	15:03:19	15:03:19			15:03:24	15:03:24		00:00:00	00:00:20		00:00:00	00:00:05	00:01:05	00:00:00	00:00:00		00:00:05	00:01:37
47	15:03:24	15:03:24	15:03:25	15:03:25	15:03:44	15:03:44			15:03:45	15:03:45	15:03:50	15:03:50	15:04:54	15:04:54	15:04:54	15:04:54	15:04:54	15:04:54			15:05:00	15:05:00		00:00:00	00:00:19		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:05	00:01:35
48	15:05:01	15:05:01	15:05:01	15:05:01	15:05:17	15:05:17			15:05:18	15:05:18	15:05:23	15:05:23	15:06:25	15:06:25	15:06:25	15:06:25	15:06:25	15:06:25			15:06:31	15:06:31		00:00:00	00:00:16		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:29
49	15:06:31	15:06:31	15:06:31	15:06:31	15:06:51	15:06:51			15:06:52	15:06:52	15:06:57	15:06:57	15:07:58	15:07:58	15:07:58	15:07:58	15:07:58	15:07:58			15:08:03	15:08:03		00:00:00	00:00:19		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:32
50	15:08:04	15:08:04	15:08:04	15:08:04	15:08:23	15:08:23	15:08:24	15:08:49	15:08:49	15:08:49	15:08:54	15:08:54	15:10:36	15:10:36	15:10:36	15:10:36	15:10:36	15:10:36	15:10:45	15:10:45	15:12:02	15:12:02		00:00:00	00:00:19	00:00:24	00:00:25	00:00:05	00:01:41	00:00:00	00:00:00	00:00:00	00:01:25	00:03:58
51	15:12:02	15:12:02	15:12:03	15:12:03	15:12:20	15:12:20			15:12:21	15:12:21	15:12:26	15:12:26	15:13:25	15:13:25	15:13:25	15:13:25	15:13:25	15:13:25			15:13:27	15:13:27		00:00:00	00:00:17		00:00:00	00:00:04	00:00:58	00:00:00	00:00:00		00:00:01	00:01:24
52	15:13:27	15:13:27	15:13:27	15:13:27	15:13:44	15:13:44			15:13:45	15:13:45	15:13:50	15:13:50	15:14:58	15:14:58	15:14:58	15:14:58	15:14:58	15:14:58			15:15:00	15:15:00		00:00:00	00:00:16		00:00:00	00:00:05	00:01:07	00:00:00	00:00:00		00:00:01	00:01:32
53	15:15:00	15:15:00	15:15:00	15:15:00	15:15:21	15:15:21			15:15:21	15:15:21	15:15:27	15:15:27	15:16:30	15:16:30	15:16:30	15:16:30	15:16:30	15:16:30			15:16:31	15:16:31		00:00:00	00:00:20		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:31
54	15:16:31	15:16:31	15:16:32	15:16:32	15:16:52	15:16:52			15:16:53	15:16:53	15:16:59	15:16:59	15:18:02	15:18:02	15:18:02	15:18:02	15:18:02	15:18:02			15:18:04	15:18:04		00:00:00	00:00:20		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:01	00:01:32
55	15:18:04	15:18:04	15:18:04	15:18:04	15:18:22	15:18:22			15:18:23	15:18:23	15:18:28	15:18:28	15:19:29	15:19:29	15:19:29	15:19:29	15:19:29	15:19:29			15:19:31	15:19:31		00:00:00	00:00:17		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:27
56	15:19:31	15:19:31	15:19:31	15:19:31	15:19:54	15:19:54			15:19:55	15:19:55	15:20:00	15:20:00	15:21:03	15:21:03	15:21:03	15:21:03	15:21:03	15:21:03			15:21:09	15:21:09		00:00:00	00:00:22		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:05	00:01:37
57	15:21:09	15:21:09	15:21:09	15:21:09	15:21:31	15:21:31			15:21:32	15:21:32	15:21:37	15:21:37	15:22:42	15:22:42	15:22:42	15:22:42	15:22:42	15:22:42			15:22:48	15:22:48		00:00:00	00:00:22		00:00:00	00:00:04	00:01:05	00:00:00	00:00:00		00:00:05	00:01:39
58	15:22:48	15:22:48	15:22:48	15:22:48	15:23:08	15:23:08			15:23:09	15:23:09	15:23:14	15:23:14	15:24:19	15:24:19	15:24:19	15:24:19	15:24:19	15:24:19			15:24:25	15:24:25		00:00:00	00:00:19		00:00:00	00:00:05	00:01:04	00:00:00	00:00:00		00:00:05	00:01:36
59	15:24:25	15:24:25	15:24:25	15:24:25	15:24:43	15:24:43			15:24:44	15:24:44	15:24:49	15:24:49	15:25:50	15:25:50	15:25:50	15:25:50	15:25:50	15:25:50			15:25:56	15:25:56		00:00:00	00:00:18		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00		00:00:05	00:01:31
60	15:25:56	15:25:56	15:25:56	15:25:56	15:26:16	15:26:16			15:26:17	15:26:17	15:26:22	15:26:22	15:27:23	15:27:23	15:27:23	15:27:23	15:27:23	15:27:23	15:27:23	15:27:23	15:28:41	15:28:41		00:00:00	00:00:19		00:00:00	00:00:05	00:01:00	00:00:00	00:00:00	00:00:00	00:01:18	00:02:44
61	15:28:46	15:28:46	15:28:49	15:28:49	15:29:09	15:29:09			15:29:10	15:29:10	15:29:15	15:29:15	15:30:16	15:30:16	15:30:16	15:30:16	15:30:16	15:30:16			15:30:18	15:30:18		00:00:02	00:00:19		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:01	00:01:31
62	15:30:18	15:30:18	15:30:18	15:30:18	15:30:36	15:30:36			15:30:37	15:30:37	15:30:43	15:30:43	15:31:46	15:31:46	15:31:46	15:31:46	15:31:46	15:31:46			15:31:47	15:31:47		00:00:00	00:00:18		00:00:00	00:00:05	00:01:02	00:00:00	00:00:00		00:00:01	00:01:29
63	15:31:47	15:31:47	15:31:48	15:31:48	15:32:01	15:32:01			15:32:02	15:32:02	15:32:08	15:32:08	15:33:12	15:33:12	15:33:12	15:33:12	15:33:12	15:33:12			15:33:16	15:33:16		00:00:00	00:00:13		00:00:00	00:00:05	00:01:03	00:00:00	00:00:00		00:00:04	00:01:28
64	15:33:17	15:33:17	15:33:17	15:33:17	15:33:37	15:33:37			15:33:38	15:33:38	15:33:44	15:33:44	15:34:39	15:34:39	15:34:39	15:34:39	15:34:39	15:34:39			15:34:41	15:34:41		00:00:00	00:00:20		00:00:00	00:00:05	00:00:55	00:00:00	00:00:00		00:00:01	00:01:24
65	15:34:41	15:34:41	15:34:42	15:34:42	15:35:00	15:35:00			15:35:01	15:35:01	15:35:07	15:35:07	15:36:06	15:36:06	15:36:06	15:36:06	15:36:06	15:36:06			15:36:07	15:36:07		00:00:00	00:00:18		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:01	00:01:26
66	15:36:08	15:36:08	15:36:08	15:36:08	15:36:26	15:36:26			15:36:27	15:36:27	15:36:32	15:36:32	15:37:33	15:37:33	15:37:34	15:37:34	15:37:34	15:37:34			15:37:39	15:37:39		00:00:00	00:00:18		00:00:00	00:00:04	00:01:01	00:00:00	00:00:00		00:00:05	00:01:31
67	15:37:39	15:37:39	15:37:40	15:37:40	15:38:01	15:38:01			15:38:02	15:38:02	15:38:07	15:38:07	15:39:09	15:39:09	15:39:09	15:39:09	15:39:09	15:39:09			15:39:14	15:39:14		00:00:00	00:00:21		00:00:00	00:00:05	00:01:01	00:00:00	00:00:00		00:00:05	00:01:34
68	15:39:14	15:39:14	15:39:15	15:39:15	15:39:38	15:39:38			15:39:39	15:39:39	15:39:44	15:39:44	15:40:44	15:40:44	15:40:44	15:40:44	15:40:44	15:40:44			15:40:50	15:40:50		00:00:00	00:00:23		00:00:00	00:00:05	00:00:59	00:00:00	00:00:00		00:00:05	00:01:35
69	15:40:50	15:40:50	15:40:50	15:40:50	15:41:12	15:41:12			15:41:13	15:41:13	15:41:18	15:41:18	15:42:18	15:42:18	15:42:18	15:42:18	15:42:18	15:42:18			15:42:24	15:42:24		00:00:00	00:00:22		00:00:00	00:00:04	00:01:00	00:00:00	00:00:00		00:00:05	00:01:34
