Iteration	access_egress_pt_travel	access_egress_pt_wait	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	ride_school_bus_travel	ride_school_bus_wait	ride_taxi_travel	ride_taxi_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
29	205.3738888888889	0.0	1053.0447222222222	0.0	11152.933055555555	0.0	281.0786111111111	0.0	861.4344444444445	715.1330555555555	3840.6402777777776	0.0	114.17666666666666	0.0	242.46666666666667	0.0	0.0	0.0	16321.119722222222	0.0
30	207.81055555555557	0.0	1068.381388888889	0.0	11127.039722222222	0.0	280.5469444444444	0.0	853.3211111111111	681.1644444444445	3856.7808333333332	0.0	114.17861111111111	0.0	239.3961111111111	0.0	0.0	0.0	16344.920555555556	0.0
31	170.48444444444445	0.0	1039.7930555555556	0.0	11113.86	0.0	280.4397222222222	0.0	808.495	636.5236111111111	3875.0325	0.0	114.40777777777778	0.0	270.0511111111111	0.0	0.0	0.0	16163.728888888889	0.0
32	206.31333333333333	0.0	1094.4225	0.0	11518.702777777778	0.0	279.315	0.0	824.4491666666667	675.1069444444445	3828.4719444444445	0.0	111.98194444444445	0.0	228.41333333333333	0.0	0.0	0.0	16039.867222222223	0.0
33	223.7188888888889	0.0	1050.2905555555556	0.0	12102.131944444445	0.0	280.71944444444443	0.0	850.3322222222222	659.8133333333334	3714.883888888889	0.0	107.36583333333333	0.0	199.16083333333333	0.0	0.0	0.0	16110.622222222222	0.0
34	184.6838888888889	0.0	1008.7130555555556	0.0	11349.229722222222	0.0	288.395	0.0	825.0661111111111	615.4572222222222	3814.845277777778	0.0	109.58944444444444	0.0	220.035	0.0	0.0	0.0	16099.363888888889	0.0
35	188.01777777777778	0.0	1027.368611111111	0.0	11277.263333333334	0.0	281.5152777777778	0.0	799.3272222222222	593.8563888888889	3838.8425	0.0	111.19083333333333	0.0	228.12055555555557	0.0	0.0	0.0	15945.358055555556	0.0
36	212.2675	0.0	1047.2519444444445	0.0	11199.561666666666	0.0	281.0913888888889	0.0	788.6436111111111	665.3783333333333	3837.2283333333335	0.0	111.09972222222223	0.0	248.5088888888889	0.0	0.0	0.0	15832.949166666667	0.0
37	230.92777777777778	0.0	1066.4327777777778	0.0	11213.708333333334	0.0	279.11805555555554	0.0	829.8491666666666	674.9836111111111	3836.034722222222	0.0	111.97166666666666	0.0	232.7552777777778	0.0	0.0	0.0	15977.296388888888	0.0
38	190.59222222222223	0.0	1039.7644444444445	0.0	12251.584444444445	0.0	279.84166666666664	0.0	819.2772222222222	613.4155555555556	3684.461388888889	0.0	103.805	0.0	183.08333333333334	0.0	0.0	0.0	16104.9525	0.0
39	210.79	0.0	1107.0875	0.0	11325.885833333334	0.0	279.38666666666666	0.0	850.3608333333333	622.6333333333333	3800.740277777778	0.0	105.50055555555555	0.0	230.7575	0.0	0.0	0.0	15888.6975	0.0
40	180.51444444444445	0.0	995.1713888888889	0.0	11272.326388888889	0.0	280.90055555555557	0.0	820.5452777777778	575.21	3844.5355555555557	0.0	107.34027777777777	0.0	211.28166666666667	0.0	0.0	0.0	15768.157222222222	0.0
41	170.63111111111112	0.0	962.4463888888889	0.0	11270.675555555556	0.0	279.09777777777776	0.0	771.7888888888889	538.9827777777778	3865.7625	0.0	108.22111111111111	0.0	215.395	0.0	0.0	0.0	15557.454444444444	0.0
42	181.35444444444445	0.0	968.7619444444445	0.0	11260.296944444444	0.0	279.42861111111114	0.0	761.4522222222222	604.5983333333334	3835.798888888889	0.0	109.22305555555556	0.0	199.385	0.0	0.0	0.0	15954.9725	0.0
43	165.38666666666666	0.0	953.8277777777778	0.0	11291.480555555556	0.0	277.4975	0.0	775.6133333333333	566.8586111111111	3857.331388888889	0.0	109.11361111111111	0.0	191.05527777777777	0.0	0.0	0.0	15488.903055555556	0.0
44	174.89277777777778	0.0	1067.4305555555557	0.0	11251.027222222223	0.0	275.65277777777777	0.0	747.4716666666667	583.62	3856.307222222222	0.0	109.85555555555555	0.0	202.47	0.0	0.0	0.0	15717.918055555556	0.0
45	185.55277777777778	0.0	1114.766111111111	0.0	11209.21611111111	0.0	275.48027777777776	0.0	758.8680555555555	555.9858333333333	3866.698888888889	0.0	110.85444444444444	0.0	221.43138888888888	0.0	0.0	0.0	15613.669722222223	0.0
46	169.71777777777777	0.0	1022.4211111111111	0.0	11244.748333333333	0.0	278.2472222222222	0.0	776.4747222222222	529.3144444444445	3884.0375	0.0	110.59666666666666	0.0	200.67194444444445	0.0	0.0	0.0	15554.505833333333	0.0
47	186.125	0.0	1073.0575	0.0	11215.684166666666	0.0	278.5466666666667	0.0	808.7075	554.3727777777777	3886.297777777778	0.0	111.45694444444445	0.0	199.8436111111111	0.0	0.0	0.0	15300.604444444445	0.0
48	190.6772222222222	0.0	1034.0352777777778	0.0	11229.238333333333	0.0	281.67083333333335	0.0	760.5216666666666	541.5038888888889	3873.95	0.0	111.39805555555556	0.0	192.94222222222223	0.0	0.0	0.0	15295.883333333333	0.0
49	168.5613888888889	0.0	942.8527777777778	0.0	12140.791666666666	0.0	281.0425	0.0	778.3888888888889	555.4872222222223	3764.4622222222224	0.0	106.49833333333333	0.0	162.14888888888888	0.0	0.0	0.0	15918.763333333334	0.0
50	178.07805555555555	0.0	994.1630555555555	0.0	11295.570833333333	0.0	278.15194444444444	0.0	704.1905555555555	496.09305555555557	3862.0275	0.0	107.75972222222222	0.0	206.0102777777778	0.0	0.0	0.0	15610.12638888889	0.0
51	158.7263888888889	0.0	926.9705555555555	0.0	11320.391666666666	0.0	278.24194444444447	0.0	743.6527777777778	519.0808333333333	3854.278333333333	0.0	107.33944444444444	0.0	199.76888888888888	0.0	0.0	0.0	15797.343333333334	0.0
