Iteration	access_egress_pt	bike	car	freight	pt	pt_with_access_egress_pt	ride	ride_school_bus	ride_taxi	walk
0	0.0	0.012194440564324626	0.6058946780276575	0.006481352144154211	0.009833775666992596	0.005671183126134935	0.26985612515714485	0.012152535270289146	0.00687246822181869	0.07104344182148345
1	0.0	0.014946221539321134	0.5988545886296969	0.006481352144154211	0.010518228802905434	0.006621036457605811	0.26514876379382596	0.012152535270289146	0.01111887135074731	0.07415840201145411
2	0.0	0.016524654281324207	0.5945942170694231	0.006481352144154211	0.010839502723844112	0.006942310378544489	0.26389160497276154	0.012152535270289146	0.013018578013689063	0.0755552451459701
3	0.0	0.017027517809749964	0.5919821204078782	0.006481352144154211	0.011062997625366671	0.00681659449643805	0.26292778320994553	0.012152535270289146	0.013577315267495461	0.07797178376868277
4	0.0	0.01753038133817572	0.5904735298226009	0.006481352144154211	0.01123061880150859	0.00692834194719933	0.26201983517251015	0.012152535270289146	0.01385668389439866	0.07932672160916329
5	0.0	0.01831261349350468	0.589775108255343	0.006481352144154211	0.011649671741863389	0.007137868417376729	0.2617963402709876	0.012152535270289146	0.014094147227266377	0.07860036317921497
6	0.0	0.019011035060762675	0.588559854728314	0.006481352144154211	0.011216650370163431	0.007109931554686409	0.2611258555664199	0.012152535270289146	0.015016063696046933	0.07932672160916329
7	0.0	0.019080877217488475	0.5890347813940494	0.006481352144154211	0.011412208408995669	0.00685849979047353	0.2601899706662942	0.012152535270289146	0.014988126833356614	0.07980164827489873
8	0.0	0.019038971923452996	0.5874563486520463	0.006481352144154211	0.01142617684034083	0.00692834194719933	0.2607347394887554	0.012152535270289146	0.01591004330213717	0.07987149043162453
9	0.0	0.019038971923452996	0.5857382315965917	0.006481352144154211	0.01150998742841179	0.007710574102528286	0.2597569492945942	0.012152535270289146	0.017306886436653166	0.08030451180332449
10	0.0	0.019667551333985192	0.5848302835591563	0.006481352144154211	0.011901103506076267	0.007682637239837966	0.2597569492945942	0.012152535270289146	0.016999580947059646	0.08052800670484704
11	0.0	0.020938678586394747	0.5836848721888532	0.006481352144154211	0.01139823997765051	0.007375331750244448	0.2598966336080458	0.012152535270289146	0.017628160357591842	0.08044419611677608
12	0.0	0.021218047213297946	0.5830283559156306	0.006481352144154211	0.011901103506076267	0.007528984495041207	0.2589467802765749	0.012152535270289146	0.018033244866601482	0.08070959631233413
13	0.0	0.020952647017739908	0.5831959770917726	0.006481352144154211	0.012152535270289146	0.007752479396563766	0.25738231596591704	0.012152535270289146	0.017809749965078923	0.08212040787819527
14	0.0	0.021832658192484984	0.5812124598407599	0.006481352144154211	0.01153792429110211	0.007654700377147646	0.2589747171392653	0.012152535270289146	0.01797737114122084	0.08217628160357592
15	0.0	0.02285235368068166	0.5803603855287052	0.006481352144154211	0.010909344880569912	0.007473110769660567	0.258513758904875	0.012152535270289146	0.018717698002514317	0.08253946081855007
16	0.0	0.021958374074591423	0.5805699119988825	0.006481352144154211	0.011845229780695628	0.007640731945802486	0.2572146947897751	0.012152535270289146	0.018578013689062717	0.08355915630674675
17	0.0	0.021692973879033385	0.5807654700377147	0.006481352144154211	0.012152535270289146	0.007459142338315407	0.2575639055734041	0.012152535270289146	0.018983098198072357	0.08274898728872748
18	0.0	0.021958374074591423	0.5796899008241374	0.006481352144154211	0.011887135074731109	0.0074870792010057275	0.2590445592959911	0.012152535270289146	0.019499930157843275	0.0817991339572566
19	0.0	0.02317362760162034	0.5786422684732504	0.006481352144154211	0.011747450761279508	0.007570889789076687	0.25803883223913954	0.012152535270289146	0.0185500768263724	0.0836429668948177
20	0.0	0.0225590166224333	0.5813940494482469	0.006481352144154211	0.01131442938957955	0.007738510965218606	0.25646039949713645	0.012152535270289146	0.018969129766727197	0.08293057689621455
21	0.0	0.02286632211202682	0.5808632490571309	0.006481352144154211	0.011565861153792429	0.007445173906970247	0.25707501047632353	0.012152535270289146	0.018941192904036876	0.08260930297527588
22	0.0	0.023061880150859058	0.5807654700377147	0.006481352144154211	0.01128649252688923	0.007263584299483168	0.2569073893001816	0.012152535270289146	0.019164687805559435	0.0829166084648694
23	0.0	0.023439027797178377	0.5802905433719793	0.006481352144154211	0.01146808213437631	0.007263584299483168	0.25676770498673	0.012152535270289146	0.019527867020533593	0.08260930297527588
24	0.0	0.023466964659868698	0.5787121106299763	0.006481352144154211	0.011258555664198911	0.007179773711412208	0.25743818969129767	0.012152535270289146	0.019458024863807794	0.08385249336499512
25	0.0	0.023466964659868698	0.5794245006285794	0.006481352144154211	0.010979187037295711	0.007263584299483168	0.258513758904875	0.012152535270289146	0.019374214275736833	0.08234390277971784
26	0.0	0.0232574381896913	0.5776924151417796	0.006481352144154211	0.01150998742841179	0.007682637239837966	0.25803883223913954	0.012152535270289146	0.02014247799972063	0.08304232434697584
27	0.0	0.02348093309121386	0.5779159100433021	0.006481352144154211	0.01144014527168599	0.007906132141360525	0.25817851655259116	0.012152535270289146	0.019430088001117476	0.08301438748428551
28	0.0	0.0231875960329655	0.5805419751361922	0.006481352144154211	0.011565861153792429	0.0073473948875541276	0.2576756530241654	0.012152535270289146	0.01870372957116916	0.08234390277971784
29	0.0	0.022265679564184942	0.5818829445453275	0.006481352144154211	0.01166364017320855	0.007459142338315407	0.2559715044000559	0.012152535270289146	0.019206593099594917	0.0829166084648694
30	0.0	0.02257298505377846	0.5797597429808633	0.006481352144154211	0.011831261349350468	0.007277552730828328	0.257033105182288	0.012152535270289146	0.019527867020533593	0.08336359826791451
31	0.0	0.022447269171672023	0.5808073753317502	0.006481352144154211	0.01144014527168599	0.0067467523397122505	0.25785724263165244	0.012152535270289146	0.02011454113703031	0.08195278670205336
32	0.0	0.02216790054476882	0.5806676910182986	0.006481352144154211	0.011789356055314988	0.0067886576337477305	0.25859756949294593	0.012152535270289146	0.0185500768263724	0.08280486101410811
33	0.0	0.022349490152255902	0.5792848163151278	0.006481352144154211	0.012180472132979467	0.007459142338315407	0.2583042324346976	0.012152535270289146	0.01852213996368208	0.0832658192484984
34	0.0	0.02271266936723006	0.5787260790613215	0.006481352144154211	0.011761419192624668	0.00691437351585417	0.25932392792289427	0.012152535270289146	0.0179214974158402	0.08400614610979187
35	0.0	0.02271266936723006	0.5796899008241374	0.006481352144154211	0.01142617684034083	0.006942310378544489	0.2589188434138846	0.012152535270289146	0.0185500768263724	0.0831261349350468
36	0.0	0.0228383852493365	0.5794664059226149	0.006481352144154211	0.01144014527168599	0.007081994691996089	0.25785724263165244	0.012152535270289146	0.019653582902640035	0.08302835591563068
