ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	93.11167952061626	93.11167952061626	93.11167952061626	93.11167952061626
1	86.1787164589654	85.98476810615057	89.6509586854094	93.31714926466815
2	85.40733447486319	80.44799678627697	87.21288673432556	93.83547800823136
3	83.50530723920362	74.29262247893817	84.44424979696726	94.01401438377285
4	80.1640317901248	67.67586413709115	81.35994945614661	94.19230546210862
5	80.63589819481835	61.75296144692977	78.94295796859926	94.4589507029771
6	78.0232112848895	53.42680525272258	75.44632895307318	94.71118358608874
7	81.10556606340135	48.460904398416496	73.63648713496899	94.87345844200442
8	81.08397723146373	43.639186078701364	71.84463348655342	94.98753019358986
9	79.80902125984613	38.39811503807256	70.3530734787792	95.37728257586052
10	79.49655464182992	32.729501806231326	68.24900023189979	95.50286375573324
11	79.436375062261	28.4422487321442	66.83558483562862	95.61510704499108
12	80.03729930172082	24.01516672985125	65.41355922175316	95.81635517484806
13	80.23085670399489	20.311770149747883	64.40025187149074	96.0506467376554
14	78.9695711834123	16.86051321596355	63.109892987611936	96.18058045693407
15	78.97877680581709	13.21675222434478	61.98275234567033	96.33948946018839
16	78.90263322404243	9.92149560923159	60.9618129912283	96.58046391167032
17	79.004166665225	7.263652882546679	60.10371404460634	96.87890898192755
18	75.03294189081296	0.7689386220949317	58.410058845323334	97.05301007499695
19	76.1212030980581	-0.3348949640701968	57.57324443036759	97.21291890860563
20	76.55578115666243	-2.3366715281265207	56.76443009448421	97.28149376660213
21	77.55085488056027	-3.8562201881514775	56.448546871754345	97.36989439205031
22	76.36639190674272	-5.711685286125386	56.07953892919386	97.48990958957914
23	76.7097545288627	-6.153681390617481	55.87487768952877	97.57955880820288
24	74.75422760173112	-7.326852015458897	55.48399834420753	97.77189477127769
25	77.52732429430029	-7.634085609188836	55.45098902405482	97.84340616344649
26	79.13660400410917	-8.66182422009403	55.43852660206608	97.93478212455804
27	78.96123822504231	-8.191136423487661	55.579681666839576	97.99895709637096
28	79.67375600940235	-7.453951457741599	55.980070140893865	98.58390382820137
29	80.28937316595744	-7.421129580909612	56.5172394729347	98.73739397075602
30	79.48246950439302	-5.481300568766936	57.16006167973028	98.83835682862579
31	76.10689078453764	-4.551689488390506	57.18846049665759	98.92704802119351
32	79.90032279514999	-3.780027452797495	58.07074631697143	99.07568844883419
33	81.0790112024782	-2.7076648040348257	58.43971068349704	99.16321789809608
34	81.58930557784697	-1.814557325497982	58.9152349134585	99.29315559450092
35	82.80874371497279	1.7276416524235576	59.97726024046633	99.5246529464259
36	81.0415788959266	2.400446652390002	60.432842998185905	99.64120834499043
37	82.52003439449905	5.944072632679847	61.561616824321604	99.76842452433968
38	80.52059479584979	6.216513750743933	61.98162379933747	99.89746014942205
39	82.90157720880524	9.17005080696036	62.90481691454553	99.99315477159246
40	83.7455975081041	11.207581272997572	63.74099016516309	100.09165116834762
41	85.29983784853292	12.593948371357293	64.4535769903716	100.4873406700806
42	84.86214656773255	15.23986396689129	65.23079029299782	100.56520645265978
43	85.26203165827916	17.264628266513828	66.0166343049421	100.63750226117106
44	83.2083324218744	18.22390608439594	66.7489707954451	100.75599952407728
45	84.25902332142441	21.423525771957273	67.81118517750464	100.83130618539764
46	82.073548260623	23.070013464677896	68.25530300857652	100.89344500109378
47	79.76321853246716	22.059645492475845	68.9880436166091	100.95320628609943
48	86.18980675771998	26.357466315143068	70.18292505947545	101.00774289072599
49	84.34498973996621	27.156391105968105	70.70280624633186	101.12823639068083
50	83.2635532610641	29.67082239714804	71.37957629629972	101.27899856241334
51	83.0834917725093	31.103879895193845	72.06894811112885	101.34522481143054
52	86.3676113171479	32.864398099008085	73.05655655911903	101.41739184372368
53	86.479015077148	34.37246439603781	73.76308208720329	101.48770779483705
54	86.89652812456237	36.14786961938771	74.46417155239365	101.57313035369035
55	88.91855684076742	38.87538540697564	75.40215752988607	101.67149129317445
56	87.89297933058519	40.196654154197944	76.14219894909895	101.86508766210643
57	88.15747612243713	41.00738474492718	76.97724146234813	101.95669775110689
58	88.51604784227855	43.076477778287675	77.73496014146379	102.09041393086073
59	89.38314230742644	46.937347614159265	78.98418463414964	102.26323592753943
60	90.30994724875876	49.55228570268312	80.2112377534325	102.41141154801487
61	88.8301063559098	49.13362156000398	80.5081334376095	102.52422987600451
62	89.6131084493672	51.162430900474284	81.16287322322542	102.61683123876917
63	90.71746649782257	52.78061702118034	81.83279559934373	102.6674419990044
64	89.94084432220545	52.63980871090282	82.12011371480544	102.73642266274103
65	90.20677950637057	54.14068865109799	82.64874201235497	102.79806811963245
66	90.27389220885921	55.03037961501058	83.14139446454527	102.9767067265215
67	89.85816727315209	55.623148470904646	83.49487732587745	103.1152805976432
68	91.29752513492438	57.918530703577666	84.1245160657106	103.18216440423588
69	90.99639236030539	57.746410248520235	84.44604978464098	103.2981657644981
70	91.30015562482969	59.66198859659473	85.09679957529349	103.36484607505218
71	90.16589896579143	62.701907569948915	85.83385964156975	103.41154098165684
72	91.44568305300054	64.1271084802344	86.32740614134445	103.50129437672449
73	90.63266827370065	65.08257376295342	86.6811473143271	103.56692766335895
74	90.18497063973037	65.08589718345897	87.01447541678385	103.62179894085959
75	91.78704570911997	66.90859341735057	87.61412978705751	103.71891637373665
76	91.68775403376686	66.7244548385617	87.86615743629739	103.82437331624823
77	92.88172242278804	68.54146100081822	88.41283346595158	104.18484259632153
78	92.66973172148943	68.71708043454989	88.66977554101582	104.24467391705788
79	93.24847368848553	69.65858656846501	89.04940283323877	104.30035845190707
80	92.38886614849355	69.80878392522028	89.2633263465234	104.36472647026572
81	92.966664027107	70.93133447943077	89.60386732633393	104.46201906622913
82	93.28798819847971	71.393805926274	89.87962721086159	104.56928419319408
83	93.3707324037236	72.06458537049518	90.20122344592096	104.67082131163151
84	94.56140866447606	73.54136256463052	90.6417731545319	104.78385634339622
85	92.55686306790334	72.35069767300274	90.63697888196498	104.87225064561287
86	93.23923482386473	73.55209674786721	91.04688742268245	104.95656001464816
87	94.09659292810552	74.3789049366482	91.437106953824	104.99564964199406
88	94.43726857158245	74.86687780020917	91.724776632577	105.04842227013852
89	89.84569122497373	70.88289966319199	91.24655056795051	105.1268642617894
90	95.0069747646069	76.23253595636541	92.32635186562642	105.21297086190123
91	94.74975715332204	76.72269790199222	92.54650237140373	105.28570173175405
92	94.19384585484343	76.10843637624417	92.65333802032269	105.39474097740874
93	94.35286779429944	76.84850973479924	92.97419492602215	105.45845340166686
94	94.84476704613971	77.43986310897334	93.3372853904491	105.5409297581168
95	95.2904018783533	78.03265517733776	93.6017644026237	105.5936332056992
96	95.19969582738494	78.26240077952106	93.7745979496985	105.658507687706
97	96.4019311422005	79.41119163037318	94.22320690827509	105.70681253664996
98	93.20360044698715	77.07518162159317	93.98718740200368	105.76364522817961
99	93.7076005037741	78.19164677996973	94.28180327746013	105.88953412070697
100	95.86281080202093	80.54507651181137	94.82027279317464	106.00652558784141
101	96.45559134098168	81.47301803868179	95.13467843170143	106.05237188184013
102	96.98014553415105	82.15263220404864	95.40801385845769	106.1056678239721
103	95.2016064876201	80.23300874495752	95.2340306869576	106.16721601049767
