ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	4983.265700910423	14283.741803813624	
1	5002.51478360778	14294.963593609456	
2	5010.273761660742	14295.014440839399	
3	5017.028107019025	14287.039758079703	
4	5020.974502903752	14277.851784717568	
5	5020.164816662387	14280.483992787726	
6	5025.443112587762	14277.918714095384	
7	5022.411322009445	14268.920630609082	
8	5022.619540253223	14269.455149975294	
9	5021.896859660169	14272.683591480658	
10	5023.81676274882	14265.48891529711	
11	5034.814006565403	14277.6253487495	
12	5027.9851595304835	14257.63889344321	
13	5031.103001876832	14261.290461825147	
14	5037.472747220592	14268.801451184207	
15	5044.0779650365375	14260.904165850243	
16	5040.492849494427	14261.572453555955	
17	5036.529177735267	14263.460773131772	
18	5030.293552862305	14251.079094392684	
19	5035.477483591637	14242.390691281347	
20	5038.295161226824	14251.247850976637	
21	5035.370603056987	14246.781287198244	
22	5033.862105175631	14234.94302412179	
23	5037.212753920339	14241.01110303413	
24	5036.699562573852	14218.356964327068	
25	5035.684123084438	14234.276308644097	
26	5037.005367163338	14243.166285376015	
27	5042.985485977481	14259.123547766783	
28	5030.6362196996915	14234.140989822035	
29	5033.209167663156	14241.573522771278	
30	5031.955739481323	14232.972939435436	
31	5023.409239395262	14211.660776301846	
32	5042.511196163778	14266.467932104973	
33	5087.990678639816	14396.690961170398	
34	5046.568044037054	14260.855523985005	
35	5044.564506687991	14257.432583738808	
36	5036.885374662054	14236.28663572134	
37	5037.13775949516	14252.184281770775	
38	5112.312993901372	14448.242397853302	
39	5057.7432689544685	14300.701114649364	
40	5041.472647121873	14253.387750537502	
41	5038.682419297895	14253.222585202928	
42	5039.3615575351305	14232.660246788018	
43	5029.366226245226	14238.590992810712	
44	5036.567409576751	14238.883908450165	
45	5034.28619124927	14229.56797525105	
46	5037.883296313336	14240.319836885206	
47	5031.242251486415	14231.876210506884	
48	5026.680930707632	14218.587962370257	
49	5074.9424112772285	14353.264283954948	
50	5043.201255515685	14239.487618685696	
51	5041.447577998714	14234.891075491176	
52	5041.170031000777	14248.743685146073	
53	5026.39972642404	14216.648114289754	
54	5027.408526962186	14218.779611736289	
55	5028.065224869576	14207.15202176931	
56	5024.186544108111	14222.976745890055	
57	5028.199571515057	14218.4671643138	
58	5029.340089551461	14213.120921778856	
59	5021.446301832602	14218.026926005405	
60	5019.108283891104	14211.169440175556	
61	5020.947642913317	14205.753539653659	
62	5025.088918429045	14199.009129517588	
63	5026.778642879876	14195.979014834682	
64	5030.351324986778	14206.972582753837	
65	5022.619279708861	14200.067950614404	
66	5041.44041253583	14240.532562148856	
67	5021.557366142161	14192.987486908609	
68	5025.960780766508	14208.274644228959	
69	5022.676440649747	14172.502102881233	
70	5012.494766839048	14187.21302992696	
71	5085.836916861611	14377.432587060604	
72	5026.8658177829	14198.333609665837	
73	5027.423584964618	14189.01343834854	
74	5027.7517557069505	14214.86322832614	
75	5026.928284151088	14195.215205437959	
76	5021.490990561956	14187.611025240914	
77	5025.217587104351	14175.656105078568	
78	5024.541519340395	14170.363135076692	
79	5025.393130183637	14197.797016663113	
80	5021.135022238772	14181.677092009568	
81	5017.284973059003	14170.226794045915	
82	5015.807142692699	14166.58820708078	
83	5017.974314385711	14174.51924577959	
84	5017.503197147101	14174.349001400633	
85	5023.9298537175855	14187.048268590695	
86	5016.3095184762915	14166.40286298641	
87	5013.222531827901	14149.745250953425	
88	5016.739668267777	14149.706610172121	
89	5088.1823822323795	14368.014109732914	
90	5018.335507968336	14181.703345292193	
91	5016.219588379692	14168.379826281778	
92	5021.003195539759	14169.047228762598	
93	5014.330648421245	14167.656977523562	
94	5016.928882943625	14166.680008418567	
95	5021.877326223466	14160.74233973729	
96	5018.735461173633	14167.413265863528	
97	5016.287858143531	14161.931148298876	
98	5010.495296007956	14147.175273823554	
99	5078.540919769169	14325.330671959277	
100	5013.837486530615	14145.94355767088	
101	5021.389188858659	14163.486001073194	
102	5018.348128822868	14150.474656374112	
103	5017.526667483253	14161.387722968115	
104	5017.989856486911	14158.734373115307	
105	5023.588581433173	14167.382083226772	
106	5020.35514050073	14148.950723821801	
107	5018.197557514637	14146.25664937728	
108	5075.812632670398	14315.91012303363	
109	5016.540205901688	14148.842470758193	
110	5023.5979063423265	14173.648974220805	
111	5015.501508114404	14151.403009708289	
112	5017.389536387846	14154.38848676448	
113	5021.689125830799	14152.190536643418	
114	5014.620228931401	14140.167827443642	
115	5010.849594722809	14124.310957578044	
116	5007.194433547032	14135.80082503229	
117	5007.541711079045	14135.58260295283	
118	5012.978498193753	14136.945023987384	
119	5009.346773682281	14135.676353393928	
120	5008.840496925914	14142.2203881565	
121	5012.773755653095	14131.938569317976	
122	5005.069690699137	14108.574400062349	
123	5002.261411768245	14105.690310074862	
124	5007.846337576994	14117.824561195464	
125	5007.046609041742	14119.804321640231	
126	5003.691930297697	14111.600565027935	
127	5006.907510457958	14117.569807398813	
128	5077.277851732993	14329.564748589282	
129	5014.951889971707	14140.386369189186	
130	5010.875144894229	14126.936911103172	
131	4999.81348518701	14122.67574134137	
132	5003.99696315931	14116.20915893999	
133	5003.453306720973	14115.8461302107	
134	5006.40074689668	14109.716008331678	
135	5004.288849490862	14102.26401114827	
136	5006.073958217058	14105.948996910223	
137	5013.421725203068	14113.210816874907	
138	5009.993948261937	14111.764116085822	
139	5010.374364662187	14103.885974487619	
140	5005.704792803623	14104.85944150098	
141	5009.839038495848	14121.441978395449	
142	5001.078445851895	14094.161301965549	
143	5000.268669293296	14086.54427870808	
144	4997.354741755899	14091.202331909575	
145	5004.698167249923	14080.907508145134	
146	5003.427266234634	14093.080781892637	
147	5075.147455843718	14297.273427879432	
148	5004.606864800866	14110.738495780948	
149	5076.45091747331	14291.287205566747	
150	5012.159096610439	14120.39280588727	
151	5014.170620613675	14120.049169836924	
152	5012.42776289405	14114.703710459395	
153	5004.396526959393	14095.770213186339	
154	5001.770984505218	14102.005299353015	
155	5004.296985149811	14088.943152537155	
156	5003.809050875361	14099.105356658383	
157	4995.638032681127	14078.800677138175	
158	4989.533163895961	14072.149924793628	
159	4999.612173676811	14084.086930052725	
160	4997.956905557648	14077.637004923708	
161	5074.944382065326	14282.838128214367	
162	4999.412947813251	14086.287461881735	
163	5008.957767606069	14086.42511772516	
164	5006.164499400826	14100.455884373585	
165	4999.5612637347385	14083.595567200164	
166	5006.962430512333	14105.1367025893	
167	4998.791061907548	14091.58398713781	
168	5002.146369608456	14087.031144745686	
169	4998.439905039894	14082.972862161881	
170	5002.911902537667	14083.345291828004	
171	4998.929341924564	14078.610124174978	
172	4995.025890905794	14069.766387916663	
173	4995.604608888843	14072.383473074631	
174	4991.378538780693	14062.6759682733	
175	4999.095636198896	14077.597115476705	
176	4999.453507709372	14084.10817032892	
177	4995.011299992296	14069.125159252026	
178	4986.642199145176	14061.276502866214	
179	4991.333722551396	14068.735440333852	
180	4991.755988601303	14066.110218758611	
181	4992.343531638731	14079.96381573677	
182	4997.029221010367	14065.166303028385	
183	4987.962400924888	14052.73816117216	
184	4985.653395369675	14047.836633488252	
185	4992.39525080145	14057.122619335089	
186	4985.350397871546	14045.935516257065	
187	4987.206776302252	14063.034424166839	
188	4986.688354908427	14052.874830349676	
189	4993.102239450797	14054.01725577577	
190	4988.158576343736	14047.028756930109	
191	4985.044306134992	14045.702790538406	
192	4989.892767498449	14044.941700580768	
193	4988.545833258044	14045.869122604276	
194	4985.379554358214	14042.37500680799	
195	4990.646522524905	14045.87698756843	
196	4980.078124248061	14043.074477775208	
197	4988.88456211758	14050.58700998018	
198	4985.378219414896	14041.323824549383	
199	5035.152988394535	14197.81425439876	
200	4981.606077905875	14052.106599499108	
201	4986.194986487035	14045.565905791604	
202	4990.836041191435	14057.394385640237	
203	4985.767700673784	14046.99951667176	
204	4985.4009054705	14038.70091736007	
205	4985.46778995832	14054.864596762058	
206	4986.4394391193955	14041.843151840416	
207	4991.832240637531	14049.648109422107	
208	4981.663749100512	14035.373521325087	
209	4988.647984677182	14044.505527794476	
210	4981.25546323237	14037.909556319455	
211	4981.691782689359	14039.510613868151	
212	4987.941292569778	14035.659992388279	
213	4982.383909762132	14040.177138033958	
214	4973.7194311621815	14022.547155266078	
215	4982.828145747971	14030.861913678125	
216	5036.428687918516	14182.03315352906	
217	4986.6007297483975	14050.034089982282	
218	4980.6580546087025	14033.1081606424	
219	4984.717431324313	14033.220718380613	
220	4980.445077076195	14023.87398480761	
221	4980.960651377037	14029.56855526548	
222	4978.9484266443915	14023.44938877963	
223	4977.349980260171	14028.881379382265	
224	4985.201169643086	14027.85276086457	
225	4980.884229789078	14031.990364940739	
226	4976.488089505767	14021.501467309376	
227	4978.662480540371	14020.24749744037	
228	4974.158757016928	14016.930713905029	
229	4980.925553714187	14033.502263821178	
230	4981.588696662986	14023.188170679663	
231	4977.3066161378665	14020.825676765053	
232	4978.387024856995	14023.44167984266	
233	4974.937386773735	14007.767007079678	
234	4976.224375334447	14009.38070173678	
235	4974.13148897816	14006.667823670716	
236	4976.8334604849615	14007.514243898677	
237	4977.094259095034	14012.883088832046	
238	4977.774680322429	14013.015459186276	
239	4979.792138557036	14016.027199173226	
240	4975.258557635336	14014.200798140571	
241	4956.088687616098	13988.774306505225	
242	4954.921403727611	13987.107153930509	
243	4953.13803850517	13982.841033895254	
244	4952.524483387517	13982.977274093426	
245	4951.359812131489	13980.933541285658	
246	4949.653477538258	13977.705031938416	
247	4948.931455932578	13975.042939304583	
248	4948.747508895652	13974.523341820548	
249	4948.720161350655	13973.685293974373	
250	4948.56113637116	13972.842308570001	
251	4948.028933513695	13972.030653737205	
252	4948.5864778688065	13972.360591652037	
253	4948.247484408431	13971.679778770373	
254	4947.9222505021935	13969.654743814614	
255	4947.700086156569	13968.819860469363	
256	4947.753649512393	13968.556231435212	
257	4947.281804610664	13966.947134884693	
258	4946.786216280944	13964.99449462499	
259	4946.840970968654	13964.734292854087	
260	4946.480686897863	13963.716916218526	
261	4946.046695946139	13962.491404767628	
262	4945.762026380073	13961.411060958031	
263	4945.738432955698	13961.137073151578	
264	4945.673283541478	13961.022230390949	
265	4944.958380169412	13959.694642958295	
266	4944.588398110176	13958.926283446084	
267	4944.659843625817	13958.436972677915	
268	4944.323744088433	13958.178919071535	
269	4944.419506070163	13958.311137324341	
270	4944.383169909441	13957.793910041673	
271	4943.996028388885	13957.115277924255	
272	4943.7115647243045	13956.588354602978	
273	4943.185225387335	13955.37833927813	
274	4943.4804133796115	13955.2446899248	
275	4943.132173582136	13954.606751314683	
276	4942.584942127864	13953.890364534722	
277	4942.34813660172	13953.774208411927	
278	4941.760801711878	13952.39174146313	
279	4941.337792514464	13951.058948320313	
280	4940.877961987766	13949.760297094588	
281	4940.710576483213	13949.56377410901	
282	4940.617820856502	13949.301808915865	
283	4940.525097796895	13948.55659269075	
284	4939.713622922883	13947.783691689188	
285	4939.495369491732	13946.753035753165	
286	4939.452113537457	13946.49279661942	
287	4939.071329906547	13945.831502827954	
288	4938.962011808847	13945.384686882608	
289	4939.00111940209	13945.357087158938	
290	4938.9190000989	13944.849045068348	
291	4938.417441689343	13943.708561241257	
292	4938.7885067181	13944.480489857762	
293	4938.475082945946	13943.595280480564	
294	4938.040496922791	13942.781955658604	
295	4937.685184622849	13941.916428454042	
296	4937.640579913518	13941.652428070078	
297	4937.388121774765	13940.849221022929	
298	4937.092200819293	13939.944423518347	
299	4937.362319790175	13940.431322138766	
300	4937.439788436119	13940.305089066354	
