Iteration	access_egress_pt	bike	car	freight	pt	ride	ride_school_bus	ride_taxi	walk
75	2051.5353175084297	11567.437121584937	645389.7502067983	21331.025111030074	20151.43369308808	242743.0760144024	5707.331219728107	10058.968492640017	56574.683285411484
76	1763.634079228868	10330.75021271658	646474.2871267631	21323.587497337725	19401.88358385881	243907.67879024064	5706.766882692379	9809.30704316453	56140.49844954032
77	1846.6566330414407	10726.400337128985	644600.0095630718	21317.44965974474	18413.90001960403	244908.85924712688	5709.367724598569	10143.913437471676	56452.503761392756
78	1987.1624378070082	11405.972242894097	644124.8585068494	21343.940172830284	18743.082804622867	243909.01408853853	5707.743320753111	9945.556905324696	56327.91484501183
79	1993.808752345674	10818.072173806682	646135.6203157912	21325.252185196976	20115.243433606276	245691.27573507832	5717.3363268131525	8746.736167205532	55179.06359661252
80	2009.3864787527568	11500.04202678854	645565.354176008	21411.736004628583	20059.0643382336	241810.36323584142	5726.721466797696	10332.533381854177	56175.42602475048
81	2132.7132400771648	11221.930564561386	644159.8340188256	21399.320395047664	19799.177877191734	243666.72747041172	5712.336740862022	9245.426707786635	56239.39138769671
82	1930.3688089010307	10450.836111733535	646163.1587027976	21408.906495685154	18828.402055208677	244040.5538801172	5740.701926940033	9120.862440028754	55750.0111453623
83	2103.851312611541	10928.140833324984	646350.5169342291	21260.148300125846	19733.137702790427	243357.28904369194	5721.804237794443	8778.674063090828	55878.97461243554
84	2114.631245443233	10326.150196017912	645871.6510586669	21265.54026625223	19895.420661122193	244407.72484492182	5732.565406499652	8737.314566931154	55736.57292954561
85	1980.3014435097728	10456.413103234656	647361.1573153997	21419.414519986385	19204.41751576891	243141.3279664301	5716.726694517441	9367.307489973686	56337.482297743154
86	2317.3239820513295	10965.1311922688	645694.7954958666	21375.846865122498	20149.20182367811	243389.19315781537	5721.6610503094735	8064.722707437595	55872.47824310339
87	1832.4326521010069	11232.282057537486	647333.8222072476	21383.259037161035	18178.55263197844	241983.192501928	5713.0244311316865	8674.376364984171	55763.48895400612
88	2052.2515282887557	10332.643794133368	648262.989849243	21383.6608792254	18527.750089770292	241614.24924890243	5694.044974304243	7601.993437788563	56607.476874685315
89	1728.9257486638635	10640.661967145184	659334.4230541665	21254.33974593788	17682.811389326096	245663.82475190965	5824.750755107198	10130.392234141398	55512.0061054849
90	2046.8671336267646	10327.025329915014	646792.4923478697	21398.470644230398	18719.773828206286	245055.2264894386	5781.900423983317	8722.543767282306	55687.498003866465
91	2220.0165565434722	10772.046677786037	647407.6971518368	21353.022231247003	19176.552883716387	242779.64568114973	5780.635464003346	9159.832084681018	54998.108371274095
92	2235.5835855740884	11408.056688556388	645435.0586727574	21334.406919280336	19660.230238298518	242341.81784999496	5769.240580037932	9624.513429029248	55841.259158428744
93	1887.869401530475	9972.430479287163	645698.3428018711	21346.26309478747	18172.90847561929	246124.47700781474	5752.735395359573	8367.242111215628	56058.91228650296
94	1957.76529428687	10612.341540578387	648680.8505003086	21314.313978350525	18288.029856210043	244059.69063968537	5760.336528618187	7534.4106514667965	55272.09851170269
95	1620.251181818887	11641.179334985756	646484.6958157779	21310.500537786065	17537.369240453594	244559.71043052856	5745.354945229424	8493.297910311101	55670.95362216868
96	1640.4974106683267	11091.44618388721	646484.2108434684	21352.02225121474	17411.56384296627	245943.70166080003	5765.75964278719	9403.096476983275	54340.95336201578
97	1622.7468861945588	10131.669927016488	648538.7411782476	21206.348145295604	16577.176994727135	246527.64120691843	5755.49013184521	8191.608103545729	54638.399014039656
98	1744.3565972129545	10337.845465818651	645263.2513645313	21319.519397041517	17292.717854339684	246205.2642779699	5723.209316559297	8894.168850927577	55289.611716246225
99	1736.4483495582301	11263.265086955545	653646.5925304352	21408.87825202516	16769.912029388877	249617.66356275373	5799.686431639791	9030.699545144736	55398.66288932502
100	1439.9892004165533	10271.205346175348	647097.3114734774	21417.923002147552	16132.217450832066	246096.21172210758	5786.706714020404	8394.958343918908	55130.81234134976
101	1868.09957012381	10603.31366259152	645509.7563203907	21366.577666001805	17615.396149655724	247476.7896419377	5767.890967356003	8410.093646173118	54638.16401718067
102	1562.6918230181534	11378.8011803183	645971.7937311681	21309.26311474889	16256.943973578096	247925.8747418808	5756.636879524506	7875.46698663106	54414.262559145296
103	1964.1224353327445	11022.074644964736	645180.3017913403	21178.729692122146	17097.592118981484	248437.63939043175	5767.5922120560535	8004.941642162065	54475.95571749203
104	1928.0601597871544	10491.575997825314	646587.9781749198	21247.006448815293	17535.654948511572	246849.27696058239	5748.6406294845065	7494.936064721481	54922.853299388014
105	1691.9512871649788	11308.980422433007	644963.4173734055	21183.238029579446	17322.50821701339	248018.51325718526	5743.7269993563405	8777.027295342687	54630.24672577909
106	1738.9593984177607	11238.984844793244	645878.4636024858	21236.72880045953	16332.51581240333	246595.23676295648	5729.561955396185	8654.765097585832	54602.99330277941
107	1662.1172971095684	10626.800739632552	645171.8607163993	21198.53391479168	16335.488610171815	247565.3480076063	5752.934785928229	8637.002835129906	55074.83271476504
108	1755.4719791687562	9986.194681407982	653476.0633385745	21198.98451982864	16358.807536543074	251325.4215570538	5851.96096784121	9282.402596813192	54850.49796508315
109	1733.3526880052746	10415.099845841349	646398.4861585689	21253.320967806594	16300.58624527077	248250.9796675603	5803.836843877444	7376.126276838436	54715.72713348537
110	1752.3210521834583	10922.235049361288	646599.8817151459	21327.58958493951	16749.167512418662	248741.19642710412	5774.680152668723	7742.829945356652	54428.45394555196
111	1694.155942544639	10393.915157479047	646181.4011568652	21312.540359730996	16576.61625694244	248818.6573743919	5742.927466579953	7379.429845233773	54324.47536669764
112	1573.0428794888305	11211.913655078206	645132.5437668499	21326.885357841627	16880.068284270514	247785.58776181794	5780.06556735875	8676.40353567396	54278.16715216987
113	1747.9933708057538	12189.094273922892	643956.7109345479	21374.366472036272	16702.387032550712	248366.96731024666	5753.830860955599	7515.972212056613	54654.7281395983
114	1735.5161812871588	10761.598925166385	645335.1136347343	21332.632296749383	16566.72031249174	247278.38893246354	5758.327911443597	8124.839998899617	54575.82046314347
115	1651.7880017710938	11670.501779157292	643506.3658272633	21332.747769603742	16170.208075260538	247849.9079999976	5765.018669585736	8101.203393221192	54209.68867458385
116	1572.0505868478415	10262.185358423678	647070.2357336262	21419.4093404683	16843.84418697734	246097.95644433022	5755.344648042503	8275.667241784638	53991.344619692616
117	1857.5847795966292	10547.525739758574	645762.1231605787	21423.856583564688	17650.009672759028	245691.95225760288	5742.018357270847	8667.953640634167	54020.16011144692
118	1664.8976820650664	10613.32581599636	646996.7549660433	21602.271129081095	16193.62142354501	246471.23056023967	5770.704770673886	8106.590325806247	54059.30086409941
119	1741.7895229272774	11304.006871726759	647052.7086139865	21526.922006299345	16834.806151308523	244970.96362322744	5766.849532179761	7842.55514802518	54471.74580611354
120	1580.0080489792072	10509.802105845054	647848.5193230949	21533.063206142226	16958.85195168827	246952.9843625055	5761.489427893052	7048.134488012806	53587.918624376856
121	1529.1678154938231	9970.572024228562	648164.0193129273	21514.910737040867	15295.787918474192	246729.88790196567	5752.436809410427	8165.665092882767	54019.18496162937
122	1407.7829945049023	10609.686929318212	645374.6181517795	21377.91871569006	14575.607453849358	248300.53269885713	5766.211673445696	7291.952625807461	54658.083140661154
123	1425.776815235653	10074.661163047447	645833.1679952403	21375.273553884028	14160.132586827924	249379.21566085922	5747.882842311458	7384.965462193439	53775.141130526295
124	1604.4004610477493	10640.369800659157	645645.7457465015	21370.820392427926	15499.01682894154	247997.51893226014	5742.444099750119	7321.557611634396	54260.73241605704
125	1808.2528742262439	10486.565759192921	645906.6802011048	21230.020885944807	16141.415843147312	247478.39342559734	5735.797839910154	7464.191347099486	54040.50431656539
126	1816.5136420088666	11069.169428623194	644490.7844580221	21251.47428450545	16607.69166526481	247747.3441697276	5741.914660878739	6700.676454168334	54269.42585157309
127	1694.1120524962275	10607.388546248516	643798.546299561	21397.726768845387	16908.96272380882	246358.038065009	5751.082139461741	7973.638232975864	55318.632603285674
128	1321.0485162580496	10967.704200836484	654212.0673345866	21248.25299352699	14661.569529922599	253839.28262805828	5793.664506646662	9667.282122392593	53553.99932391863
129	1592.124355898849	11211.48335260506	642637.7822074076	21248.38164393451	15159.029130518951	251870.81817626656	5786.590614707626	8156.248444134356	54079.01111686865
130	1549.6963750099874	11505.246791541726	640843.1401755085	21180.866169800716	14923.751993019609	253214.77120930923	5791.959053315871	7657.037899492852	54112.23193563042
131	1366.6519992830733	10652.802931566273	643005.6478817897	21218.42475787816	15135.083399812615	251302.0979047879	5803.701856288476	8532.112189139205	53425.78318180864
132	1500.3558943242235	10104.05481846043	645659.6684227111	21191.847631047905	15799.845222415179	249732.7754933667	5796.956984080957	6003.67933135719	54067.44333741657
133	1489.3381424693728	11170.434351643127	644209.6880425768	21123.60269313275	14919.42446287353	249948.59302232307	5797.977951709045	7874.583187536749	53363.37357429665
134	1497.5058279254458	10058.793157919967	645292.3673052174	21121.33310383013	15283.456975301599	249193.8177670756	5758.144914486315	7829.969844937357	53550.379321743916
135	1475.1281180527244	10875.770781834535	642855.9116610618	21238.13933288566	14248.390819691373	251111.39103966937	5774.875390659374	7848.465111347333	53446.56837985448
136	1530.4084206403672	11102.713808297081	642313.0718201258	21303.430407144308	15388.169084935267	251366.775521003	5771.030123652849	6866.909465952283	53767.22606126196
137	1602.0139341303232	11341.954968781616	641563.2267905268	21286.31265026196	15238.590890934804	250599.2824262042	5750.407766915809	8352.877368352198	54078.763937744436
138	1564.1874939953386	10801.549740850234	642733.2138297082	21269.557464492078	15261.794007973518	250955.53343898934	5759.820730139461	7431.221277134286	53977.38230101427
139	1469.125792490227	11362.82071899662	641364.3571143531	21276.318730091654	14813.727306057079	251757.36999808322	5757.499049528336	7750.540673788884	53487.53391592873
140	1375.82561017022	10957.113952193555	643414.8955175295	21315.306282109876	14932.797484978413	250944.8125206742	5763.9171088548665	7677.70604706352	52922.888554212914
141	1810.081932272261	10702.955740055872	643541.8190686038	21333.74792766598	16408.0203874748	249574.24101451243	5753.598126789572	7830.735873454213	53549.37334993783
142	1416.459372398488	11459.005405227583	641142.5851749573	21282.02468186639	15123.98161287588	248059.87763908648	5738.878364547049	9643.15537708007	54251.425486785694
143	1402.2234574938202	10958.073259452043	642881.7313172047	21122.937983922875	14306.823158902125	250050.21719956968	5764.284335075012	7968.149031218406	53404.71350858735
144	1671.3135616845566	11532.913025473326	642473.6553915419	21184.58509611663	14860.125595354351	250448.41336213387	5763.598985241188	7614.956327067575	52736.72077102386
145	1482.3962514014681	11242.641015701014	643176.3835173141	21129.586405565635	14007.41622114388	250620.8365685278	5764.8127634159155	6423.130751980259	53588.52817602524
146	1459.5336617205626	11700.825414603318	643234.356465425	21108.06242380696	15098.941664702741	249614.31362892775	5762.521574250765	7247.224705237395	53164.95169825352
147	1210.126420651803	10754.975447631377	654445.7922888034	21114.21841514184	14340.342327245098	253875.5129172881	5865.615961410496	8380.039828588157	53031.14965748134
148	1596.0304547357919	11319.201409286561	641849.5993639117	21156.99209316919	15272.61118245164	251810.3249159205	5850.359053190791	7387.159728266179	53256.99092550959
149	1406.9710908980248	11904.766648758701	651018.3665468825	21237.45660400156	14476.147689351365	255520.32410876238	5933.5492582661045	7880.845306658286	53110.16364206003
150	1433.2841655997297	11841.247473780684	643480.5559861542	21208.324289329696	14870.590864315302	251271.61545573635	5851.421964337893	7083.818587050135	53229.977362882695
151	1435.085265765152	11544.855353745657	642717.7767381723	21162.620909905752	15044.021287950178	251250.07231458253	5824.970365300017	8299.254975957423	52770.85843441906
152	1323.9494335233628	11481.404897150755	643838.781965251	21156.100995644614	14415.404462718046	251902.58324620678	5818.842156437954	7234.044124771861	52717.79710290004
153	1422.4653100290577	11291.357063408064	642486.3933841794	21110.46428177844	12682.357240791196	254157.6646169823	5828.761714591772	7146.145038389033	52335.35748007259
154	1830.3703700219571	9665.41071327168	642648.503157802	21164.848990018767	14322.258227968057	252882.2845631438	5827.992588769462	7179.284548703606	53381.27035386351
155	1238.2529100443767	11772.207395526584	641405.0077683346	21151.717299588683	13023.324077012137	253886.12557542705	5805.854492238684	6785.575544472223	53037.554001814904
156	1472.3507675830654	11659.462098508513	642262.5110651539	21218.582723793246	14541.858134708205	251586.0263732661	5821.740531446829	7420.771406902127	52834.63964561945
157	1421.3892631561148	10362.25170063048	642482.2516585502	21093.646111875318	13454.253582132123	252207.8330077579	5808.54750767976	7672.29259932261	52852.956944946694
158	1138.4666010713913	11906.083946467134	640415.7934068544	21082.716366487253	13067.161911420397	253373.37990762203	5812.006821410432	7280.251052738902	52732.099929510376
159	1507.971562333908	11969.275099508293	641123.9122636891	21110.40819553882	14121.258642883073	252486.96648611582	5797.14585049096	6257.486000614656	53292.40989121293
160	1727.4173420438858	11218.66321632751	640985.2390755194	21067.274562755538	13498.676326476434	251923.68086233502	5784.960197929245	7815.150466977108	53082.248290218675
161	1125.4038836110403	11733.717727782838	653954.2768849477	21011.852738611527	12436.602965067792	253849.01064609512	5986.915680431358	8361.049942780946	53254.3472499737
162	1088.3212471333668	10711.107975085946	643914.6890830438	20994.15206463635	12631.350019136104	252670.80980341267	5881.626677888394	7040.637030271237	52933.95813970026
163	1154.5972459178063	11992.562609067318	642243.1889051619	21004.446810826255	12744.271610452684	252435.5669785877	5897.445665343115	7479.591075014809	52975.85588615949
164	1469.999998082342	11920.952445798657	641509.5798846475	20935.265119367443	14686.318652121463	251340.10024524262	5842.24177572435	8109.3333928216625	53158.6386824326
165	1310.2096960446963	11248.557120520622	641904.6154932764	20987.628280472523	13291.928942973394	251902.32473549317	5846.752911111039	8427.295735308038	52672.265932844406
166	1513.0363793350175	11980.081216487817	641002.0672612244	20974.00819759848	14518.292910643466	252564.16317372353	5873.17187409607	7878.50851108224	52549.53059973898
167	1318.4395471421524	11161.831724451271	642664.6539111189	20945.292147033655	13427.17699894564	254112.00841080915	5870.557089549429	6756.435690392152	51974.76771200065
168	1424.9381957638152	11474.886991951133	642032.7128152219	20971.924199914767	13756.177876815731	251877.2450962599	5880.164770428129	7870.615413259078	52633.823823750216
169	1246.113240858825	12439.526200312861	642382.5073424954	20945.71296283703	13894.217224908558	250755.7903561295	5865.219250642293	7084.541554801443	52841.92848742478
170	1411.5138592651538	11750.915698415187	644579.7355880322	20947.046400575484	12961.394719599568	250495.6513738951	5849.65614429358	7594.365911279153	52241.320158955226
171	1527.0244619532482	12146.305899972811	641507.2104638192	20946.0599742924	14239.47333610271	252422.25123338966	5870.560084616604	5952.083838913491	52538.322012507495
172	1331.0107433411358	13031.64311316588	639109.0950381833	20940.23790505132	13580.255015187768	251900.46404360942	5822.342561445615	7901.111639809382	52851.58680237844
173	1510.5107551236244	11484.58562471226	642452.490515604	20936.51519272541	13624.739266273462	251277.1147499739	5810.182442025847	7728.372920700351	52049.58866362544
174	1275.8973044972095	11549.445125134329	639530.523104492	20942.41466430404	13304.402592871438	253235.901472361	5816.751356450023	7677.212724320595	52869.468531291895
175	1405.763272441723	12051.496440005485	640782.0747630113	20939.055707666776	13330.909354157857	253585.9061931187	5791.56841410119	6608.038848466295	52632.992066932406
176	1646.5189140953516	11246.89096998318	642813.3931111454	20972.105816675557	13285.758961072544	253807.49935776385	5809.623848693166	6547.812094416279	51490.253590947956
177	1280.4989152660885	11308.464802938992	642091.6651173037	20915.765958445732	13483.96400329028	252464.8701460128	5787.169751352802	7173.145178072246	52209.01357296441
178	1333.1695204219295	10925.960468754643	640682.107286311	20915.7423499555	14195.408296628737	253166.89561639872	5787.577269799682	7130.526543138799	52027.38245451154
179	1469.4495074577756	11850.408226883455	642900.687026558	20916.25887200335	13128.369272646474	252300.0965676373	5803.170188638748	6550.3381489903095	51898.12136619462
180	1437.7144551572308	12085.803957297809	643290.1592090989	20971.716245509517	12516.40808278076	250666.79997690505	5801.860292800433	7481.6486139316985	52275.583196108215
181	1615.410420465713	10505.554709135875	641413.8222272447	21094.997856825066	13504.297746891534	253713.08707151303	5830.569185815024	7994.2182893722675	51932.737483381956
182	1238.5730249830003	11673.857061441917	640837.8832331719	21132.40715481604	12422.92588328926	253434.1111431008	5827.962392119933	7653.20208369868	52280.703719286474
183	1697.2481346756	11642.596339007601	639887.9384078026	21162.349917612373	12758.223838012242	253645.10945733165	5849.461538289344	6412.674296621084	52223.328315450264
184	1423.9854616361536	11462.340494343602	640545.0250472734	21148.685282210405	12005.727886937222	253042.31699808897	5843.066440944207	7011.690793773327	52410.50300531834
185	1338.8770487105426	12020.960299664952	640485.2481977992	21189.00274699173	11877.360154586051	253960.9578423436	5802.573402787514	7240.99816011143	51911.878116474974
